Manager	Ukraine career	Played	Drawn	Lost	Win %
Viktor Prokopenko	1992	3	1	2	0
Mykola Pavlov ( caretaker )	1992	1	1	0	0
Oleh Bazylevych	1993–1994	11	3	4	36.36
Mykola Pavlov ( caretaker )	1994	2	0	2	0
Yozhef Sabo	1994	2	1	0	50
Anatoliy Konkov	1995	7	0	4	42.86
Yozhef Sabo	1996–1999	32	11	6	46.88
Valeriy Lobanovskyi	2000–2001	18	4	2	33.33
Leonid Buryak	2002–2003	19	3	2	26.32
Oleh Blokhin	2003–2007	46	14	11	45.65
Oleksiy Mykhaylychenko	2008–2009	20	1	4	60
Myron Markevych	2010	4	1	0	75
Yuriy Kalytvyntsev ( caretaker )	2010–2011	8	2	3	37.5
Oleh Blokhin	2011–2012	12	3	4	41.67
Andriy Bal ( caretaker )	2012	3	1	1	33.33
Oleksandr Zavarov ( caretaker )	2012	1	0	0	100
Mykhaylo Fomenko	2013–	10	2	0	80
