Year	Total matches	Total W-L-H	Singles W-L-H	Points won	Points %
Career	46	22-18-6	5-5-2	25	54.35%
1990	3	2-1-0	1-0-0 def. R. Jones 3&2	2	66.7%
1992	3	3-0-0	1-0-0 def. B. Burton 4&2	3	100%
1994	3	1-2-0	0-1-0 lost to B. Burton 1 dn	1	33.3%
1996	5	3-2-0	0-1-0 lost to M. McGann 3&2	3	60%
1998	5	3-1-1	1-0-0 def. P. Hurst 1 up	3.5	70%
2000	4	1-2-1	0-1-0 lost to K. Robbins 3&2	1.5	37.5%
2002	5	2-3-0	0-1-0 lost to M. Mallon 3&2	2	40%
2003	4	1-2-1	1-0-0 def. M. Mallon, conceded on 15	1.5	37.5%
2005	5	3-2-0	0-1-0 lost to P. Creamer 7&5	3	60%
2007	4	2-1-1	1-0-0 def B. Lincicome 4&3	2.5	62.5%
2009	2	0-1-1	0-0-1 halved with B. Lang	0.5	25%
2011	3	1-1-1	0-0-1 halved with J. Inkster	1.5	50%
