Status	Name	First Performance	Last Performance	Style
Original Cast	Liam Mower	31 March 2005	30 September 2006	Ballet
Original Cast	James Lomas	2 April 2005	17 September 2005	Street Dance
Original Cast	George Maguire	April 2005	3 December 2005	Street Dance
Past	Leon Cooke	19 September 2005	2 June 2007	Ballet
Past	Travis Yates	19 December 2005	1 September 2007	Ballet/Street combination
Past	Matthew Koon	1 March 2006	2 December 2006	Rhythmic Gymnastic
Past	Colin Bates	13 March 2006	24 February 2007	Ballet
Past	Dean McCarthy	4 December 2006	4 October 2007	Street Dance
Past	Layton Williams	26 February 2007	29 November 2008	Street Dance
Past	Corey Snide	16 May 2007	5 July 2008	Ballet
Past	Oliver Taylor	18 June 2007	1 December 2007	Ballet
Past	Sam Angell	3 September 2007	29 March 2008	Ballet/Street combination
Past	Joshua Fedrick	12 November 2007	27 September 2008	Street Dance
Past	Trent Kowalik	17 December 2007	7 June 2008	Ballet
Past	Hogan Fulton	19 May 2008	6 September 2008	Ballet
Past	Fox Jackson-Keen	23 June 2008	27 March 2010	Street Dance
Past	Tom Holland	8 September 2008	29 May 2010	Street Dance
Past	Tanner Pflueger	29 September 2008	26 September 2009	Ballet/Street combination
Past	Brad Wilson	1 December 2008	31 October 2009	Ballet
Past	Oliver Gardner	12 May 2009	25 September 2010	Street Dance
Past	Dean-Charles Chapman	30 November 2009	12 November 2011	Ballet
Past	Rhys Yeomans	24 March 2010	9 April 2011	Ballet
Past	Aaron Watson	10 June 2010	19 February 2011	Ballet/ Gymnastics
Past	Scott McKenzie	6 September 2010	3 September 2011	Ballet
Past	Josh Baker	24 February 2011	3 March 2012	Ballet
Past	Ryan Collinson	13 April 2011	1 September 2012	Street Dance
Past	Adam Vesperman	25 July 2011	18 August 2012	Ballet
Past	Kaine Ward	14 November 2011	16 February 2013	Ballet
Past	Harris Beattie	22 February 2012	8 June 2013	Ballet
Past	Tade Biesinger	6 February 2013	31 August 2013	Ballet
Current Cast	Harrison Dowzell	14 May 2012	current cast	Street Dance
Current Cast	Redmand Rance	22 August 2012	current cast	Ballet
Current Cast	Ali Rasul	13 May 2013	current cast	Street Dance
Current Cast	Elliott Hanna	17 July 2013	current cast	Ballet
