Name	Years	MLS Cup	U.S. Open Cup	CONCACAF	Other	Total
Wade Barrett	2006–present	8	2	5	9	86
Pat Onstad	2006–present	9	2	4	8	82
Brian Mullan	2006–present	8	2	4	7	80
Dwayne De Rosario	2006–present	8	2	5	9	78
Eddie Robinson	2006–present	8	3	4	7	72
Craig Waibel	2006–present	8	1	4	10	72
Ryan Cochrane	2006–2007	7	3	0	6	68
Ricardo Clark	2006–present	3	1	5	6	65
Brian Ching	2006–present	7	1	5	8	62
Brad Davis	2006–present	8	1	2	6	62
Stuart Holden	2006–present	6	3	0	7	51
Alejandro Moreno	2006	4	2	1	6	47
Richard Mulrooney	2007–present	4	0	4	5	41
