Game	March	Opponent	Score	Record	Points
60	2	@ New York Rangers	5–6	35–16–6–3	79
61	4	@ Boston Bruins	4–1	36–17–6–3	81
62	7	Calgary Flames	2–4	36–18–6–3	81
63	8	@ Tampa Bay Lightning	4–2	37–18–6–3	83
64	10	Toronto Maple Leafs	1–3	37–19–6–3	83
65	12	@ Toronto Maple Leafs	1–1 OT	37–18–7–3	84
66	14	Buffalo Sabres	1–3	37–19–7–3	84
67	16	Colorado Avalanche	1–2	37–20–7–3	84
68	18	Tampa Bay Lightning	3–3 OT	37–20–8–3	85
69	21	Mighty Ducks of Anaheim	2–1	38–20–8–3	87
70	23	@ Pittsburgh Penguins	4–4 OT	38–20–9–3	88
71	25	Toronto Maple Leafs	4–1	39–20–9–3	90
72	27	@ New York Rangers	4–2	40–20–9–3	92
73	28	@ Carolina Hurricanes	1–4	40–21–9–3	92
74	30	Buffalo Sabres	1–3	40–22–9–3	92
