Driver	Constructor	Laps	Time/Retired	Grid
Jackie Stewart	Tyrrell - Ford	95	1:57:59.1	2
Denny Hulme	McLaren - Ford	95	+ 25.96	4
Jacky Ickx	Ferrari	95	+ 59.39	8
Clay Regazzoni	Ferrari	95	+ 1:06.72	6
Tim Schenken	Surtees - Ford	95	+ 1:09.11	11
Ronnie Peterson	March - Ford	94	+ 1 lap	10
Carlos Reutemann	Brabham - Ford	93	+ 2 laps	1
Henri Pescarolo	March - Ford	93	+ 2 laps	15
Howden Ganley	BRM	93	+ 2 laps	13
Helmut Marko	BRM	93	+ 2 laps	19
Niki Lauda	March - Ford	93	+ 2 laps	22
Emerson Fittipaldi	Lotus - Ford	61	Suspension	5
François Cevert	Tyrrell - Ford	59	Gearbox	7
Reine Wisell	BRM	59	Water leak	17
Peter Revson	McLaren - Ford	49	Engine	3
Mario Andretti	Ferrari	20	Engine	9
Andrea de Adamich	Surtees - Ford	11	Fuel system	14
Graham Hill	Brabham - Ford	11	Fuel pump	16
Dave Walker	Lotus - Ford	8	Received outside assistance	20
Peter Gethin	BRM	1	Oil leak	18
Alex Soler-Roig	BRM	1	Accident	21
Chris Amon	Matra	0	Gearbox on warm-up lap	12
