Name	Birth year and age	Net worth US$ (billions)	Citizenship	Source
Liliane Bettencourt	1922/1923(age 90–91)	30.0	France	L'Oréal , inherited
Christy Walton	1948/1949(age 64–65)	28.8	United States	Wal-Mart , inherited
Alice Walton	1949/1950(age 63–64)	26.3	United States	Wal-Mart , inherited
Iris Fontbona & family	1942/1943(age 70–71)	17.4	Chile	Antofagasta PLC , inherited
Jacqueline Mars	1940/1941(age 72–73)	17.8	United States	Mars, Incorporated , inherited
Gina Rinehart	1953/1954(age 59–60)	17	Australia	Hancock , inherited
Susanne Klatten	1962/1963(age 50–51)	14.3	Germany	Altana , inherited
Abigail Johnson	1961/1962(age 51–52)	12.7	United States	Fidelity Investments , inherited
Miuccia Prada	1948/1949(age 64–65)	12.4	Italy	Prada , inherited
Anne Cox Chambers	1919/1920(age 93–94)	12	United States	Cox Enterprises , inherited
