Date	Visitor	Score	Home	Decision	Record
February 2	Phoenix	2 – 3	Nashville	Ellis	27–21–5
February 5	Carolina	0 – 1	Nashville	Ellis	28–21–5
February 7	Tampa Bay	2 – 1	Nashville	Ellis	28–21–6
February 9	Nashville	3 – 4	San Jose	Ellis	28–22–6
February 10	Nashville	6 – 3	Phoenix	Ellis	29–22–6
February 12	Detroit	2 – 4	Nashville	Ellis	30–22–6
February 14	Chicago	6 – 1	Nashville	Mason	30–23–6
February 16	St. Louis	1 – 2	Nashville	Ellis	31–23–6
February 17	Nashville	4 – 5	Minnesota	Ellis	31–23–7
February 19	Edmonton	4 – 5	Nashville	Ellis	32–23–7
February 21	Vancouver	3 – 2	Nashville	Ellis	32–23–8
February 23	Dallas	6 – 3	Nashville	Ellis	32–24–8
February 27	Nashville	4 – 8	Buffalo	Mason	32–25–8
