Episode	Theme	Song choice	Original artist	Order #	Result
Audition	Auditioner's Choice	"Sería fácil"	Luis Fonsi	N/A	Advanced
Selection Process	Auditioner's Choice	Not Aired	Not Aired	N/A	Advanced
Workshop #1	Contestant's Choice	"Tu Reputación"	Ricardo Arjona	8	Advanced
Top 12	Contestant's Choice	"Usted Se Me Llevo La Vida"	Alexandre Pires	10	Safe
Top 10	Emmanuel Homage	"Quiero Dormir Cansado"	Emmanuel	6	Safe
Top 8	Decade They Were Born	"Detalles"	Roberto Carlos	7	Safe
Top 7	Ricardo Montaner Homage	"Bésame"	Ricardo Montaner	7	Safe
Top 6	Latin Rhythm	"Fruta Fresca"	Carlos Vives	3	Safe
Top 5	Boleros and Rancheras	"La Media Vuelta"	José Alfredo Jiménez	4	Safe
Top 5	Boleros and Rancheras	"Ella"	José Alfredo Jiménez	9	Safe
Top 4	Love songs	"Contigo en la Distancia"	Luis Miguel	4	Safe
Top 4	Love songs	"Si Tú No Estas"	Rosana	8	Safe
Top 3	Hits Night	"Cuándo"	Ricardo Arjona	2	Safe
Top 3	Hits Night	"Corazón Partío"	Alejandro Sanz	5	Safe
Top 2	Finale	"Con una Canción"	Carlos Peña	1	Winner
Top 2	Finale	"Usted Se Me Llevó La Vida"	Alexandre Pires	3	Winner
Top 2	Finale	"Cada Palabra"	Carlos Peña	5	Winner
