Week	Date	Opponent	Result	Attendance
1	September 30, 1956	at Pittsburgh Steelers	L 30-13	27,718
2	October 6, 1956	at Philadelphia Eagles	L 13-9	26,607
3	October 14, 1956	Chicago Cardinals	L 31-3	25,794
4	October 21, 1956	Cleveland Browns	W 20-9	23,332
5	October 28, 1956	at Chicago Cardinals	W 17-14	30,553
6	November 11, 1956	Detroit Lions	W 18-17	28,003
7	November 18, 1956	New York Giants	W 33-7	26,261
8	November 25, 1956	at Cleveland Browns	W 20-17	22,878
9	December 2, 1956	at New York Giants	L 28-14	26,261
10	December 9, 1956	Philadelphia Eagles	W 19-17	22,333
11	December 16, 1956	Pittsburgh Steelers	L 23-0	21,097
12	December 23, 1956	at Baltimore Colts	L 19-17	32,994
