Player	Height	Position	Year born	Current Club
Nikita Shabalkin	2.04	Forward	1986	Khimki
J.R. Holden	1.85	Guard	1976	CSKA Moscow
Sergei Bykov	1.90	Guard	1983	Dynamo Moscow
Andrei Kirilenko	2.05	Forward	1981	Utah Jazz
Nikita Morgunov	2.11	Forward	1975	Triumph Lyubertsy
Petr Samoylenko	1.86	Guard	1977	Dynamo Moscow
Viktor Khryapa	2.04	Forward	1982	Chicago Bulls
Zakhar Pashutin	1.95	Guard	1974	CSKA Moscow
Sergei Monya	2.04	Forward	1983	Dynamo Moscow
Anton Ponkrashov	2.00	Guard	1986	Khimki
Alexei Savrasenko	2.15	Center	1979	CSKA Moscow
Nikolai Padius	1.97	Guard	1980	UNICS Kazan
