Make	Model	Production Run	Engine	Power	Wheelbase	Body Styles
De Vaux	6/75	4/31 - 1/32	DeVaux-Hall inline 6	70bhp (52kW)	113 in (2870mm)	Standard Coupe
De Vaux	6/75	4/31 - 1/32	DeVaux-Hall inline 6	70bhp (52kW)	113 in (2870mm)	Standard Sedan
De Vaux	6/75	4/31 - 1/32	DeVaux-Hall inline 6	70bhp (52kW)	113 in (2870mm)	Sport Coupe (4p.)
De Vaux	6/75	4/31 - 1/32	DeVaux-Hall inline 6	70bhp (52kW)	113 in (2870mm)	Sport Sedan
De Vaux	6/75	4/31 - 1/32	DeVaux-Hall inline 6	70bhp (52kW)	113 in (2870mm)	De Luxe Coupe
De Vaux	6/75	4/31 - 1/32	DeVaux-Hall inline 6	70bhp (52kW)	113 in (2870mm)	De Luxe Sedan
De Vaux	6/75	4/31 - 1/32	DeVaux-Hall inline 6	70bhp (52kW)	113 in (2870mm)	Custom Coupe
De Vaux	6/75	4/31 - 1/32	DeVaux-Hall inline 6	70bhp (52kW)	113 in (2870mm)	Custom Sedan
De Vaux Continental	6/80	2/32 - 11/32	Continental inline 6	84bhp (63kW)	113 in (2870mm)	Standard Coupe
De Vaux Continental	6/80	2/32 - 11/32	Continental inline 6	84bhp (63kW)	113 in (2870mm)	Standard Sedan
De Vaux Continental	6/80	2/32 - 11/32	Continental inline 6	84bhp (63kW)	113 in (2870mm)	Custom Coupe
De Vaux Continental	6/80	2/32 - 11/32	Continental inline 6	84bhp (63kW)	113 in (2870mm)	Custom Sedan
De Vaux Continental	6/80	2/32 - 11/32	Continental inline 6	84bhp (63kW)	113 in (2870mm)	Custom Convertible Coupe
