Title	Season	Winner	Score	Runner-up	Venue	Attendance
30th	1993-4 Details	Meiji	41 – 12	Hosei	National Stadium, Tokyo , Tokyo	n/a
31st	1994-5 Details	Daito Bunka University	22 – 17	Meiji	National Stadium, Tokyo , Tokyo	n/a
32nd	1995-6 Details	Meiji	43 – 9	Waseda	National Stadium, Tokyo , Tokyo	n/a
33rd	1996-7 Details	Meiji	32 – 22	Waseda	National Stadium, Tokyo , Tokyo	n/a
34th	1997-8 Details	Kanto Gakuin University	30 – 17	Meiji	National Stadium, Tokyo , Tokyo	n/a
35th	1998-9 Details	Kanto Gakuin University	47 – 28	Meiji	National Stadium, Tokyo , Tokyo	n/a
36th	1999-0 Details	Keio	42 – 15	Kanto Gakuin University	National Stadium, Tokyo , Tokyo	n/a
37th	2000-1 Details	Kanto Gakuin University	42 – 15	Hosei	National Stadium, Tokyo , Tokyo	n/a
38th	2001-2 Details	Kanto Gakuin University	21 – 16	Waseda	National Stadium, Tokyo , Tokyo	n/a
39th	2002-3 Details	Waseda	27 – 22	Kanto Gakuin University	National Stadium, Tokyo , Tokyo	n/a
40th	2003-4 Details	Kanto Gakuin University	33 – 7	Waseda	National Stadium, Tokyo , Tokyo	n/a
41st	2004-5 Details	Waseda	31 – 19	Kanto Gakuin University	National Stadium, Tokyo , Tokyo	35,462
42nd	2005-6 Details	Waseda	41 – 5	Kanto Gakuin University	National Stadium, Tokyo , Tokyo	30,163
43rd	2006-7 Details	Kanto Gakuin University	33 – 26	Waseda	National Stadium, Tokyo , Tokyo	31,954
44th	2007-8 Details	Waseda	26 – 6	Keio	National Stadium, Tokyo , Tokyo	23,694
45th	2008-9 Details	Waseda	20 – 10	Teikyo	National Stadium, Tokyo , Tokyo	22,344
46th	2009–10 Details	Teikyo	14 – 13	Tokai	National Stadium, Tokyo , Tokyo	17,569
47th	2010–11 Details	Teikyo	17 – 14	Waseda	National Stadium, Tokyo , Tokyo	25,458
48th	2011–12 Details	Teikyo	15 – 12	Tenri	National Stadium, Tokyo , Tokyo	14,407
49th	2012–13 Details	Teikyo	39-22	Tsukuba	National Stadium, Tokyo , Tokyo	20,050
