Driver	Constructor	Laps	Time/Retired	Grid
Damon Hill	Williams - Renault	77	1:46:25.721	1
David Coulthard	Williams - Renault	77	+33.398	2
Gerhard Berger	Ferrari	76	+1 lap	4
Johnny Herbert	Benetton - Renault	76	+1 lap	9
Heinz-Harald Frentzen	Sauber - Ford	76	+1 lap	11
Olivier Panis	Ligier - Mugen-Honda	76	+1 lap	10
Rubens Barrichello	Jordan - Peugeot	76	+1 lap	14
Luca Badoer	Minardi - Ford	75	+2 laps	12
Pedro Lamy	Minardi - Ford	74	+3 laps	15
Jean-Christophe Boullion	Sauber - Ford	74	+3 laps	19
Michael Schumacher	Benetton - Renault	73	Engine	3
Andrea Montermini	Pacific - Ford	73	+4 laps	22
Eddie Irvine	Jordan - Peugeot	70	Clutch	7
Martin Brundle	Ligier - Mugen-Honda	67	Engine	8
Mika Salo	Tyrrell - Yamaha	58	Throttle	16
Mark Blundell	McLaren - Mercedes	54	Fuel leak	13
Ukyo Katayama	Tyrrell - Yamaha	46	Spun off	17
Massimiliano Papis	Footwork - Hart	45	Brakes	20
Jean Alesi	Ferrari	42	Brakes	6
Pedro Diniz	Forti - Ford	32	Engine	23
Taki Inoue	Footwork - Hart	13	Engine	18
Roberto Moreno	Forti - Ford	8	Gearbox	21
Giovanni Lavaggi	Pacific - Ford	5	Spun off	24
Mika Häkkinen	McLaren - Mercedes	3	Engine	5
