Spaceport	Launch complex	Launcher	Spacecraft	Flights	Years
Baikonur Cosmodrome , Kazakhstan	Site 1	Vostok (r)	Vostok 1–6	6 Orbital	1961–1963
Baikonur Cosmodrome , Kazakhstan	Site 1	Voskhod (r)	Voskhod 1–2	2 Orbital	1964–1965
Baikonur Cosmodrome , Kazakhstan	Site 1 , 31	Soyuz (r)	Soyuz 1–40 †	37 Orbital	1967–1981
Baikonur Cosmodrome , Kazakhstan	Site 1 , 31	Soyuz (r)	Soyuz-T 2–15	14 Orbital	1980–1986
Baikonur Cosmodrome , Kazakhstan	Site 1	Soyuz (r)	Soyuz-TM 2–34	33 Orbital	1987–2002
Baikonur Cosmodrome , Kazakhstan	Site 1	Soyuz (r)	Soyuz-TMA 1–22	22 Orbital	2002–2011
Baikonur Cosmodrome , Kazakhstan	Site 1	Soyuz (r)	Soyuz TMA-M 1–9	9 Orbital	2010–
Cape Canaveral AFS , Florida , USA	LC5	Redstone	Mercury 3–4	2 Sub-O	1961–1961
Cape Canaveral AFS , Florida , USA	LC14	Atlas	Mercury 6–9	4 Orbital	1962–1963
Cape Canaveral AFS , Florida , USA	LC19	Titan II	Gemini 3–12	10 Orbital	1965–1966
Cape Canaveral AFS , Florida , USA	LC34	Saturn IB	Apollo 7	1 Orbital	1968–1968
Kennedy Space Center , Florida , USA	LC39	Saturn V	Apollo 8–17	10 Lun / Or	1968–1970
Kennedy Space Center , Florida , USA	LC39	Saturn IB	Skylab 2–4	3 Orbital	1973–1974
Kennedy Space Center , Florida , USA	LC39	Saturn IB	Apollo-Soyuz	1 Orbital	1975–1975
Kennedy Space Center , Florida , USA	LC39	STS 1–135 ‡	Space Shuttle	134 Orbital	1981–2011
Jiuquan , China	Area 4	Long March 2F	Shenzhou 5–7, 9-10	5 Orbital	2003–
