Date	Visiting Team	Final Score	Host Team	Stadium
September 5	San Francisco 49ers	16-13	New York Giants	Giants Stadium
September 8	Dallas Cowboys	10-19	Houston Texans	Reliant Stadium
September 15	Oakland Raiders	30-17	Pittsburgh Steelers	Heinz Field
September 22	Cincinnati Bengals	3-30	Atlanta Falcons	Georgia Dome
September 29	Minnesota Vikings	23-48	Seattle Seahawks	Qwest Field
October 6	Baltimore Ravens	26-21	Cleveland Browns	Cleveland Browns Stadium
October 13	Miami Dolphins	24-22	Denver Broncos	Invesco Field at Mile High
October 27	Indianapolis Colts	21-26	Washington Redskins	FedEx Field
November 3	Jacksonville Jaguars	17-24	New York Giants	Giants Stadium
November 10	Miami Dolphins	10-13	New York Jets	Giants Stadium
November 17	New England Patriots	20-27	Oakland Raiders	Network Associates Coliseum
November 24	Indianapolis Colts	23-20	Denver Broncos	Invesco Field at Mile High
December 1	Tampa Bay Buccaneers	20-23	New Orleans Saints	Louisiana Superdome
December 8	Minnesota Vikings	22-26	Green Bay Packers	Lambeau Field
December 15	Arizona Cardinals	28-30	St. Louis Rams	Edward Jones Dome
December 21	Philadelphia Eagles	27-3	Dallas Cowboys	Texas Stadium
December 22	New York Jets	30-17	New England Patriots	Gillette Stadium
December 29	Tampa Bay Buccaneers	15-0	Chicago Bears	Memorial Stadium
