Finish	Start	Car no.	Driver	Owner/Sponsor	Car make
1	2	21	A.J. Foyt	Purolator ( Wood Brothers )	'71 Mercury
2	6	6	Charlie Glotzbach	American Brakeblok / Signal Stat ( Cotton Owens )	'71 Dodge
3	8	31	Jim Vandiver	O.L. Nixon	70 Dodge
4	33	72	Benny Parsons	L.G. DeWitt	'70 Mercury
5	35	48	James Hylton	Pop Kola ( James Hylton )	'71 Ford
6	16	3	Cale Yarborough	Ray Fox	'71 Plymouth
7	23	5	David Sisco	Charlie McGee	'72 Chevrolet
8	21	25	Jabe Thomas	Don Robertson	'70 Plymouth
9	15	4	John Sears	J. Marvin Mills Heating & Air ( J. Marvin Mills )	'70 Plymouth
10	13	23	Vic Elford	Don Robertson	'70 Plymouth
11	26	3	Tommy Gale	Frank Vasko	'71 Mercury
12	38	64	Elmo Langley	Elmo Langley	'71 Ford
13	5	91	Richard D. Brown	Ralph McNabb	'72 Chevrolet
14	37	19	Henley Gray	Henley Gray	'71 Ford
15	34	0	George Altheide	George Altheide	'70 Dodge
16	4	12	Bobby Allison	Coca-Cola ( Richard Howard )	'72 Chevrolet
17	20	76	Ben Arnold	Ben Arnold	'71 Ford
18	7	79	Frank Warren	Frank Warren	'70 Dodge
19	25	57	David Ray Boggs	David Ray Boggs	'70 Dodge
20	27	86	Ed Hessert	Neil Castles	'70 Dodge
21	30	44	Larry Dickson	Giachetti Brothers ( Richard Giachetti )	'71 Ford
22	9	56	Jim Hurtubise	Richard Hammond	'70 Chevrolet
23	14	90	Bill Dennis	Junie Donlavey	'72 Ford
24	19	70	J.D. McDuffie	J.D. McDuffie	'71 Chevrolet
25	3	14	Coo Coo Marlin	Cunningham-Kelley ( H.B. Cunningham )	'72 Chevrolet
26	32	43	Richard Petty	STP ( Petty Enterprises )	'72 Plymouth
27	12	2	Dave Marcis	Dave Marcis	'72 Dodge
28	28	88	Ron Keselowski	Roger Lubinski	'70 Dodge
29	36	45	Bill Seifert	Bill Seifert	'71 Ford
30	18	97	Red Farmer	Willie Humphries	'72 Ford
31	17	61	Jimmy Finger	Bierschwale-Haverlah ( Don Bierschwale )	'71 Ford
32	22	67	Buddy Arrington	Buddy Arrington	'70 Plymouth
33	1	71	Bobby Isaac	K & K Insurance ( Nord Krauskopf )	'72 Dodge
34	31	11	Buddy Baker	STP ( Petty Enterprises )	'72 Dodge
35	10	16	Mark Donohue	American Motors ( Roger Penske )	'72 Matador
36	29	30	Walter Ballard	Ballard Racing ( Vic Ballard )	'71 Ford
37	24	9	Ramo Stott	Housby Racing ( Jack Housby )	'72 Dodge
38	39	10	Bill Champion	Bill Champion	'71 Ford
39	11	24	Cecil Gordon	Cecil Gordon	71 Mercury
