Rank	Country/Territory	Miss International	1st Runner-up	2nd Runner-up	3rd Runner-up	4th Runner-up	Semifinalists	Total
1	Venezuela	6	5	1	0	0	21	33
2	Philippines	4	0	2	0	1	21	28
3	USA	3	7	2	4	4	9	29
4	Australia	3	2	2	0	1	10	18
5	Spain	3	1	3	1	1	23	32
6	Colombia	3	1	1	0	0	26	31
7	Poland	3	1	1	0	0	7	12
8	United Kingdom	2	2	1	0	0	7	12
9	Germany	2	1	0	1	0	14	18
10	Norway	2	1	0	0	0	9	12
11	Mexico	2	0	2	0	0	8	12
12	Costa Rica	2	0	0	0	0	3	5
13	Finland	1	3	4	1	2	16	27
14	Brazil	1	3	1	1	2	17	25
15	France	1	2	1	0	0	13	17
16	Greece	1	2	1	0	0	4	8
17	Argentina	1	2	0	0	0	6	9
18	Panama	1	1	1	0	1	3	7
19	England	1	1	0	2	0	7	11
20	Iceland	1	0	2	0	1	9	13
21	Japan	1	0	1	1	2	38	43
22	Netherlands	1	0	1	1	0	7	10
23	Puerto Rico	1	0	0	1	0	9	11
24	New Zealand	1	0	0	0	1	10	12
25	Ecuador	1	0	0	0	0	3	4
25	Yugoslavia	1	0	0	0	0	3	4
27	Lebanon	1	0	0	0	0	2	3
27	Portugal	1	0	0	0	0	2	3
29	Guatemala	1	0	0	0	0	1	2
30	India	0	3	3	0	0	12	18
31	Korea	0	2	2	0	1	21	26
32	Thailand	0	2	0	0	2	8	12
33	Russia	0	1	2	0	0	5	8
34	Sweden	0	1	1	0	0	12	14
35	Belgium	0	1	1	0	0	8	10
36	Denmark	0	1	1	0	0	5	7
37	Czechoslovakia	0	1	1	0	0	0	2
38	Dominican Republic	0	1	0	1	0	6	8
39	Israel	0	1	0	0	0	17	18
40	Tunisia	0	1	0	0	0	3	4
41	Austria	0	0	3	0	0	4	7
42	China	0	0	1	1	0	3	5
43	Hawaii	0	0	1	1	0	2	4
44	Ireland	0	0	1	0	1	7	9
45	Czech Republic	0	0	1	0	1	5	7
46	Italy	0	0	1	0	0	6	7
47	Nicaragua	0	0	1	0	0	4	5
47	Ukraine	0	0	1	0	0	4	5
49	Sri Lanka	0	0	1	0	0	3	4
50	Mongolia	0	0	1	0	0	2	3
51	Aruba	0	0	1	0	0	1	2
51	Belarus	0	0	1	0	0	1	2
51	Indonesia	0	0	1	0	0	1	2
54	Tahiti	0	0	0	2	0	0	2
55	Peru	0	0	0	1	0	5	6
56	Canada	0	0	0	1	0	3	4
56	Switzerland	0	0	0	1	0	3	4
58	Guam	0	0	0	1	0	0	1
59	Hong Kong	0	0	0	0	1	2	3
59	Paraguay	0	0	0	0	1	2	3
61	Turkey	0	0	0	0	0	12	12
62	Bolivia	0	0	0	0	0	5	5
63	Chile	0	0	0	0	0	3	3
63	Honduras	0	0	0	0	0	3	3
63	Scotland	0	0	0	0	0	3	3
66	Jamaica	0	0	0	0	0	2	2
66	Latvia	0	0	0	0	0	2	2
66	Luxembourg	0	0	0	0	0	2	2
66	Malaysia	0	0	0	0	0	2	2
66	Senegal	0	0	0	0	0	2	2
66	Singapore	0	0	0	0	0	2	2
66	Taiwan	0	0	0	0	0	2	2
66	Vietnam	0	0	0	0	0	2	2
74	Cuba	0	0	0	0	0	1	1
74	Curacao	0	0	0	0	0	1	1
74	Cyprus	0	0	0	0	0	1	1
74	Fiji	0	0	0	0	0	1	1
74	Guadeloupe	0	0	0	0	0	1	1
74	Haiti	0	0	0	0	0	1	1
74	Macedonia	0	0	0	0	0	1	1
74	Namibia	0	0	0	0	0	1	1
74	New Caledonia	0	0	0	0	0	1	1
74	San Marino	0	0	0	0	0	1	1
74	Serbia	0	0	0	0	0	1	1
74	Serbia and Montenegro	0	0	0	0	0	1	1
74	Slovakia	0	0	0	0	0	1	1
74	South Africa	0	0	0	0	0	1	1
74	Trinidad and Tobago	0	0	0	0	0	1	1
74	Uruguay	0	0	0	0	0	1	1
74	USSR	0	0	0	0	0	1	1
74	Wales	0	0	0	0	0	1	1
