Club	Played	Drawn	Lost	Points for	Points against	Points difference	Bonus Points	Points
Club	Played	Drawn	Lost	Points for	Points against	Points difference	Bonus Points	Points
Penlan RFC	18	0	0	780	165	+615	16	88
Penybanc RFC	18	0	6	379	250	+129	9	57
Tregaron RFC	18	0	7	418	256	+162	11	55
Nantgaredig RFC	18	1	6	347	270	+77	8	54
Fall Bay RFC	18	1	8	337	334	+3	5	43
Pontrhydyfen RFC	18	0	10	321	430	-109	6	38
Llangadog RFC	18	1	10	383	434	-51	7	37
Pantyffynnon RFC	18	1	10	343	390	-47	6	36
Aberavon Naval RFC	18	0	15	206	518	-312	4	16
South Gower RFC	18	0	16	190	657	-467	6	14
Correct as of 17 May 2009	Correct as of 17 May 2009	Correct as of 17 May 2009	Correct as of 17 May 2009	Correct as of 17 May 2009	Correct as of 17 May 2009	Correct as of 17 May 2009	Correct as of 17 May 2009	Correct as of 17 May 2009
