category	1999	2000	2001	2004
International Engine of the Year	Toyota 1SZ-FE 1.0L Yaris	Honda 1.0L IMA Insight	BMW S54 3.2L M3	Toyota 1NZ-FXE 1.5L Hybrid Synergy Drive Prius
Best New Engine	not awarded	not awarded	BMW S54 3.2L M3	Toyota 1NZ-FXE 1.5L Hybrid Synergy Drive Prius
Best Fuel Economy / Green Engine	Volkswagen 1.2L TDI 3L	Honda 1.0L IMA Insight	Honda 1.0L IMA Insight	Toyota 1NZ-FXE 1.5L Hybrid Synergy Drive Prius
Best Performance Engine	not awarded	not awarded	not awarded	Mercedes-AMG M275 6.0L V12 S65 / CL65 / SL65
Sub 1 litre	Toyota 1SZ-FE 1.0L Yaris	Honda 1.0L IMA Insight	Honda 1.0L IMA Insight	Honda 1.0L IMA Insight
1.0litre to 1.4litre	Volkswagen 1.2L TDI 3L	Toyota 2NZ-FE 1.3L VVT-i	Volkswagen 1.4L TDI	Honda 1.3L IMA Civic
1.4litre to 1.8litre	Toyota 1NZ-FXE Hybrid Prius	Honda Accord 1.8L	BMW N42 1.8L Valvetronic	Toyota 1NZ-FXE 1.5L Hybrid Synergy Drive Prius
1.8litre to 2.0litre	Volkswagen 1.9L 110PS TDI	Honda S2000 2.0L	Honda S2000 2.0L	Honda S2000 2.0L
2.0litre to 2.5litre	Audi 2.5L V6 TDI A4 / A6 / A8	Alfa Romeo 2.5L V6 156 / 166	PSA Peugeot Citroën DW12 2.2L HDi C5 / 607	BMW M54 2.5L 325i / X3 / 525i / Z4
2.5litre to 3.0litre	BMW M57D30 2.9L	BMW M57D30 2.9L	BMW M57D30 2.9L	Mazda 1.3L Renesis RX-8
3.0litre to 4.0litre	BMW M67D39 3.9L V8 E38 740d	BMW M67D39 3.9L V8 E38 740d	BMW S54B32 3.2L M3	BMW S54B32 3.2L M3
Above 4.0litre	BMW M73 5.4L V12	Ferrari F133 5.5L V12 456 / 550	Ferrari F133 5.5L V12 456 / 550	Volkswagen 5.0L V10 TDI Touareg / Phaeton
Best Concept	DaimlerChrysler Necar 4	DaimlerChrysler Necar 4	Saab SVC	not awarded
Best Eco- friendly	Toyota 1NZ-FXE Prius Hybrid	Toyota 1NZ-FXE Prius Hybrid	not awarded	not awarded
category	1999	2000	2001	2004
