Year	Entrant	Chassis	Engine	Pts.
1960	Scuderia Ferrari	Ferrari 246P	Ferrari	8
1960	Scuderia Ferrari	Ferrari Dino 246	Ferrari	8
1960	Reventlow Automobiles Inc	Scarab Type 1	Scarab	8
1961	Scuderia Ferrari	Ferrari 156	Ferrari	16
1962	Owen Racing Organisation	BRM P48/57	BRM	10
1962	Owen Racing Organisation	BRM P57	BRM	10
1963	Owen Racing Organisation	BRM P57	BRM	29 (34)
1964	Owen Racing Organisation	BRM P261	BRM	23
1965	Honda R&D Co	Honda RA272	Honda	11
1966	Cooper Car Company	Cooper T81	Maserati	5
1966	Honda R&D Co	Honda RA273	Honda	5
1967	Anglo American Racers	Eagle Mk1	Weslake	0
1967	Advance Muffler/Bruce Bromme	Eagle Mk1	Weslake	0
