Driver	Constructor	Laps	Time/Retired	Grid
David Coulthard	Williams - Renault	71	1:41:52.145	1
Michael Schumacher	Benetton - Renault	71	+7.248	3
Damon Hill	Williams - Renault	71	+22.121	2
Gerhard Berger	Ferrari	71	+1:24.879	4
Jean Alesi	Ferrari	71	+1:25.429	7
Heinz-Harald Frentzen	Sauber - Ford	70	+1 Lap	5
Johnny Herbert	Benetton - Renault	70	+1 Lap	6
Martin Brundle	Ligier - Mugen-Honda	70	+1 Lap	9
Mark Blundell	McLaren - Mercedes	70	+1 Lap	12
Eddie Irvine	Jordan - Peugeot	70	+1 Lap	10
Rubens Barrichello	Jordan - Peugeot	70	+1 Lap	8
Jean-Christophe Boullion	Sauber - Ford	70	+1 Lap	14
Mika Salo	Tyrrell - Yamaha	69	+2 Laps	15
Luca Badoer	Minardi - Ford	68	+3 Laps	18
Taki Inoue	Footwork - Hart	68	+3 Laps	19
Pedro Diniz	Forti - Ford	66	+5 Laps	22
Roberto Moreno	Forti - Ford	64	+7 Laps	23
Andrea Montermini	Pacific - Ford	53	Gearbox	21
Mika Häkkinen	McLaren - Mercedes	44	Engine	13
Jean-Denis Délétraz	Pacific - Ford	14	Physical	24
Olivier Panis	Ligier - Mugen-Honda	10	Spun off	11
Pedro Lamy	Minardi - Ford	7	Gearbox	17
Ukyo Katayama	Tyrrell - Yamaha	0	Collision	16
Massimiliano Papis	Footwork - Hart	0	Gearbox	20
