Outcome	Date	Tournament	Surface	Opponent	Score
Winner	November 26, 2005	Ashkelon , Israel	Hard	Pemra Özgen	6–1, 6–1
Runner–up	December 3, 2005	Ramat HaSharon , Israel	Hard	Margalita Chakhnashvili	3–6, 6–7 (4–7)
Runner–up	July 22, 2007	Hamilton , Canada	Clay	Stéphanie Dubois	2–6, 2–6
Runner–up	July 28, 2007	Calgary , Canada	Hard	Ana Veselinović	2–6, 1–6
Runner–up	July 6, 2008	Waterloo , Canada	Clay	Alexandra Mueller	3–6, 3–6
Runner–up	January 18, 2009	Boca Raton , United States	Clay	Gabriela Paz-Franco	4–6, 6–7 (4–7)
Winner	January 25, 2009	Lutz , United States	Clay	Lauren Albanese	6–4, 7–6 (7–5)
Winner	April 19, 2009	Osprey , United States	Clay	Yuliana Fedak	4–6, 1–6
Runner–up	September 13, 2009	Biella , Italy	Clay	Petra Martić	5–7, 4–6
Winner	January 16, 2011	Plantation , United States	Clay	Alexandra Cadanțu	6–3, 7–6 (7–2)
Winner	July 10, 2011	Waterloo , Canada	Clay	Julia Boserup	6–3, 4–6, 6–4
Winner	July 15, 2012	Waterloo , Canada	Clay	Julia Glushko	6–3, 6–2
Winner	September 2, 2012	Mamaia , Romania	Clay	Patricia Maria Ţig	6–3, 6–7 (5–7) , 6–3
Runner–up	September 16, 2012	Sofia , Bulgaria	Clay	Cristina Mitu	4–6, 6–3, 3–6
Runner–up	October 14, 2012	Troy , United States	Hard	Stéphanie Dubois	6–3, 4–6, 3–6
Runner–up	October 21, 2012	Rock Hill , United States	Hard	Rebecca Marino	6–3, 6–7 (5–7) , 2–6
Runner–up	November 4, 2012	Toronto , Canada	Hard (i)	Eugenie Bouchard	1–6, 2–6
Winner	January 20, 2013	Port St. Lucie , United States	Clay	Tadeja Majerič	6–3, 6–2
Runner–up	May 5, 2013	Wiesbaden , Germany	Clay	Yvonne Meusburger	7–5, 4–6, 1–6
Runner–up	August 4, 2013	Vancouver , Canada	Hard	Johanna Konta	4–6, 2–6
