City	Municipality	County	Town status	Population
Alta	Alta	Finnmark	1999	17,440
Askim	Askim	Østfold	1996	14,703
Brekstad	Ørland	Sør-Trøndelag	2005	1,865
Brevik	Porsgrunn	Telemark	1845-1963 later regained	2,700
Brumunddal	Ringsaker	Hedmark	2010	8,890
Bryne	Time	Rogaland	2001	9,627
Brønnøysund	Brønnøy	Nordland	1923-1963 regained 2000	5,000
Drøbak	Frogn	Akershus	1842-1961 regained 2006	13,358
Elverum	Elverum	Hedmark	1996	18,992
Fauske	Fauske	Nordland	1998	6,000
Fagernes	Nord-Aurdal	Oppland	2007	1,762
Finnsnes	Lenvik	Troms	2000	5,500
Fosnavåg	Herøy	Møre og Romsdal	2000	3,598
Førde	Førde	Sogn og Fjordane	1997	9,248
Hokksund	Øvre Eiker	Buskerud	2002	8,000
Honningsvåg	Nordkapp	Finnmark	1996	2,575
Jørpeland	Strand	Rogaland	1998	6,168
Kirkenes	Sør-Varanger	Finnmark	1998	6,000
Kolvereid	Nærøy	Nord-Trøndelag	2002	1,448
Kopervik	Karmøy	Rogaland	1866-1964 regained 1996	9,000
Kragerø	Kragerø	Telemark	1666-1959 later regained	10,505
Langesund	Bamble	Telemark	1765-1963 regained 1997	5,500
Leirvik	Stord	Hordaland	1997	11,342
Leknes	Vestvågøy	Nordland	2002	10,764
Levanger	Levanger	Nord-Trøndelag	1836-1961 later regained	18,355
Lillesand	Lillesand	Aust-Agder	1830-1961 later regained	8,952
Lillestrøm	Skedsmo	Akershus	1997	14,000
Lyngdal	Lyngdal	Vest-Agder	2001	7,216
Mo i Rana	Rana	Nordland	1923-1963 later regained	17,750
Mosjøen	Vefsn	Nordland	1875-1961 later regained	10,000
Mysen	Eidsberg	Østfold	1996	6,084
Måløy	Vågsøy	Sogn og Fjordane	2004	3,003
Odda	Odda	Hordaland	2004	7,468
Otta	Sel	Oppland	2000	2,750
Rjukan	Tinn	Telemark	1996	3,386
Sandnessjøen	Alstahaug	Nordland	1999	5,716
Sandvika	Bærum	Akershus	2003	108,144
Sauda	Sauda	Rogaland	1999	4,878
Ski	Ski	Akershus	2004	26,588
Skudeneshavn	Karmøy	Rogaland	1857-1964 later regained	5,000
Sortland	Sortland	Nordland	1997	9,509
Stathelle	Bamble	Telemark	1774-1963 regained 1997	8,000
Stavern	Larvik	Vestfold	1946-1988 regained 1999	3,000
Stjørdalshalsen	Stjørdal	Nord-Trøndelag	1997	21,659
Tananger	Sola	Rogaland	2009	5,000
Ulsteinvik	Ulstein	Møre og Romsdal	2000	5,156
Verdalsøra	Verdal	Nord-Trøndelag	1998	7,396
Åkrehamn	Karmøy	Rogaland	2002	10,070
Åndalsnes	Rauma	Møre og Romsdal	1996	3,000
