Date	Venue	Score	Result	Competition
20 January 1935	Lima , Peru	1-0	1-4	1935 Copa America
4 August 1936	Berlin , Germany	1-0	7-3	1936 Summer Olympics
4 August 1936	Berlin , Germany	2-0	7-3	1936 Summer Olympics
4 August 1936	Berlin , Germany	3-0	7-3	1936 Summer Olympics
4 August 1936	Berlin , Germany	4-1	7-3	1936 Summer Olympics
4 August 1936	Berlin , Germany	6-1	7-3	1936 Summer Olympics
8 August 1936	Berlin , Germany	1-0	4-2	1936 Summer Olympics
December 1936	Buenos Aires , Argentina	1-2	2-3	1937 Copa America
6 January 1937	Buenos Aires , Argentina	1-1	2-4	1937 Copa America
16 April 1938	Bogota , Colombia	1-0	4-2	1938 Bolivarian Games
10 May 1938	Bogota , Colombia	3-1	4-2	1938 Bolivarian Games
21 May 1938	Bogota , Colombia	1-0	3-0	1938 Bolivarian Games
15 January 1939	Lima , Peru	1-0	5-2	1939 Copa America
15 January 1939	Lima , Peru	3-0	5-2	1939 Copa America
15 January 1939	Lima , Peru	5-1	5-2	1939 Copa America
22 January 1939	Lima , Peru	1-0	3-1	1939 Copa America
22 January 1939	Lima , Peru	2-1	3-1	1939 Copa America
29 January 1939	Lima , Peru	1-0	3-0	1939 Copa America
29 January 1939	Lima , Peru	2-0	3-0	1939 Copa America
23 February 1941	Santiago, Chile	1-0	4-0	1941 Copa America
23 February 1941	Santiago, Chile	2-0	4-0	1941 Copa America
23 February 1941	Santiago, Chile	4-0	4-0	1941 Copa America
21 January 1942	Montevideo , Uruguay	1-2	1-2	1942 Copa America
25 January 1942	Montevideo , Uruguay	1-1	1-3	1942 Copa America
