Year	Winner	Jockey	Trainer	Owner	Time
2013 KD	Orb	Joel Rosario	Claude McGaughey III	Stuart S. Janney III & Phipps Stable	2:02.89
2012 KD	I'll Have Another	Mario Gutierrez	Doug O'Neill	J. Paul Reddam	2:01.83
2011 KD	Animal Kingdom	John Velazquez	H. Graham Motion	Team Valor	2:02.04
2010 KD	Super Saver	Calvin Borel	Todd Pletcher	WinStar Farm	2:04.45
2009 KD	Mine That Bird	Calvin Borel	Bennie L. Woolley, Jr.	Double Eagle Ranch et al.	2:02.66
2008 KD	Big Brown	Kent Desormeaux	Richard E. Dutrow, Jr.	IEAH Stables / P. Pompa	2:01.82
2007 KD	Street Sense	Calvin Borel	Carl Nafzger	James B. Tafel	2:02.17
2006 KD	Barbaro	Edgar Prado	Michael R. Matz	Lael Stables	2:01.36
2005 KD	Giacomo	Mike E. Smith	John Shirreffs	Jerry & Ann Moss	2:02.75
2004 KD	Smarty Jones	Stewart Elliott	John Servis	Someday Farm	2:04.06
2003 KD	Funny Cide	Jose Santos	Barclay Tagg	Sackatoga Stable	2:01.19
2002 KD	War Emblem	Victor Espinoza	Bob Baffert	Thoroughbred Corp.	2:01.13
2001 KD	Monarchos	Jorge F. Chavez	John T. Ward, Jr.	John C. Oxley	1:59.97
2000 KD	Fusaichi Pegasus	Kent Desormeaux	Neil Drysdale	Fusao Sekiguchi	2:01.00
1999 KD	Charismatic	Chris Antley	D. Wayne Lukas	Bob & Beverly Lewis	2:03.20
1998 KD	Real Quiet	Kent Desormeaux	Bob Baffert	Michael E. Pegram	2:02.20
1997 KD	Silver Charm	Gary Stevens	Bob Baffert	Bob & Beverly Lewis	2:02.40
1996 KD	Grindstone	Jerry Bailey	D. Wayne Lukas	Overbrook Farm	2:01.00
1995 KD	Thunder Gulch	Gary Stevens	D. Wayne Lukas †	Michael Tabor	2:01.20
1994 KD	Go for Gin	Chris McCarron	Nick Zito	Condren & Cornacchia	2:03.60
1993 KD	Sea Hero	Jerry Bailey	MacKenzie Miller	Rokeby Stables	2:02.40
1992 KD	Lil E. Tee	Pat Day	Lynn S. Whiting	W. Cal Partee	2:03.00
1991 KD	Strike the Gold	Chris Antley	Nick Zito	BCC Stable	2:03.00
1990 KD	Unbridled	Craig Perret	Carl Nafzger	Frances A. Genter	2:02.00
1989 KD	Sunday Silence	Pat Valenzuela	Charlie Whittingham	H-G-W Partners	2:05.00
1988 KD	Winning Colors ‡	Gary Stevens	D. Wayne Lukas	Eugene V. Klein	2:02.20
1987 KD	Alysheba	Chris McCarron	Jack Van Berg	D. & P. Scharbauer	2:03.40
1986 KD	Ferdinand	Bill Shoemaker	Charlie Whittingham	Elizabeth A. Keck	2:02.80
1985 KD	Spend A Buck	Angel Cordero, Jr.	Cam Gambolati	Dennis Diaz	2:00.20
1984 KD	Swale	Laffit Pincay, Jr.	Woody Stephens	Claiborne Farm	2:02.40
1983	Sunny's Halo	Eddie Delahoussaye	David C. Cross, Jr.	D. J. Foster Stable	2:02.20
1982	Gato Del Sol	Eddie Delahoussaye	Edwin J. Gregson	Hancock & Peters	2:02.40
