ISSN	Language	Country	Frequency	Publication range	Status	Document Type
1755-0637	English	United Kingdom	Semi-annually	2008-	Current	Scholarly Journal
1061-0308	English	United States	Annually	1992-	Current	Scholarly Journal
0214-6606	Spanish	Spain	3 times per year	1989-	Current	Scholarly Journal
1059-440X	English	United States	Semi-annually	1988-	Current	Scholarly Journal
0313-4059	English	Australia	Irregular	1976–1985	Ceased	Scholarly Journal
0232-718X	German	German Federal Republic	Irregular	1982-	Current	Scholarly Journal
1536-3155	English	United States	Semi-annually	2009-	Current	Scholarly Journal
0270-5346	English	United States	3 times per year	1976-	Current	Scholarly Journal
0847-5911	English	Canada	Semi-annually	1990-	Current	Scholarly Journal
0826-9866	English	Canada	3 times per year	1985-	Current	Scholarly Journal
1010-3627	German	Switzerland	Annually	1961-	Current	Scholarly Journal
1631-8226	French	France	Semi-annually	2001–2007	Ceased	Scholarly Journal
0009-7101	English	United States	Quarterly	1966-	Current	Scholarly Journal
1181-6945	French	Canada	3 times per year	1990-	Current	Scholarly Journal
1241-8153	French	France	Semi-annually	1992–2003	Ceased	Scholarly Journal
1746-0654	English	United Kingdom	3 times per year	2005-	Current	Scholarly Journal
0891-6780	English	United States	Semi-annually	1986–1994	Ceased	Scholarly Journal
0360-3695	English	United States	Semi-annually	1971-	Current	Scholarly Journal
0163-5069	English	United States	3 times per year	1976-	Current	Scholarly Journal
0015-1211	English	United States	Irregular	1955–1999	Ceased	Scholarly Journal
0015-1270	English	United States	Quarterly	1965–1977	Ceased	Scholarly Journal
1136-7385	English	Spain	3 times per year	1991-	Current	Scholarly Journal
0892-2160	English	United Kingdom	Quarterly	1987-	Current	Scholarly Journal
1466-4615	English	United Kingdom	Rolling	2006-	Current	Scholarly Journal
0015-1386	English	United States	Quarterly	1958-	Current	Scholarly Journal
1469-0314	English	United Kingdom	Semi-annually	1999–2007	Ceased	Scholarly Journal
0323-3227	German	German Federal Republic	Quarterly	1973–1999	Ceased	Scholarly Journal
0942-7074	German	German Federal Republic	Semi-annually	1992–2005	Ceased	Scholarly Journal
0015-1769	German	German Democratic Republic	Irregular	1968–1981	Ceased	Scholarly Journal
1242-1898	French	France	Irregular	1992–1993	Ceased	Scholarly Journal
0306-7661	English	United Kingdom	Semi-annually	1975-	Current	Scholarly Journal
0343-7736	German	German Federal Republic	Irregular	1974-	Current	Scholarly Journal
0393-3857	Italian	Italy	Semi-annually	1978-	Current	Scholarly Journal
0143-9685	English	United Kingdom	Quarterly	1981-	Current	Scholarly Journal
1662-5518	English	United States	Annually	1992-	Current	Scholarly Journal
0019-1744	French	Italy	Quarterly	1962-	Current	Scholarly Journal
0751-7033	French	France	Irregular	1983-	Current	Scholarly Journal
1754-9221	English	United Kingdom	3 times per year	2009-	Current	Scholarly Journal
1743-4521	English	United Kingdom	Semi-annually	2004-	Current	Scholarly Journal
1750-8061	English	United Kingdom	3 times per year	2007-	Current	Scholarly Journal
0742-4671	English	United States	Quarterly	1984-	Current	Scholarly Journal
1087-7142	English	United States	Irregular	2002-	Current	Scholarly Journal
1756-4905	English	United Kingdom	3 times per year	2009-	Current	Scholarly Journal
1461-104X	English	United Kingdom	Annually	1998–2002	Ceased	Scholarly Journal
0195-6051	English	United States	Quarterly	1978-	Current	Scholarly Journal
0734-919X	English	United States	Quarterly	1968–1983	Ceased	Scholarly Journal
0146-5546	English	United States	Irregular	1974-	Current	Scholarly Journal
1192-6252	English	Canada	Semi-annually	1993-	Current	Scholarly Journal
0121-3776	Spanish	Colombia	Quarterly	1990-	Current	Scholarly Journal
1024-1906	German	Germany	Annually	1992–2006	Ceased	Scholarly Journal
0023-4222	Danish	Denmark	Semi-annually	1954-	Current	Scholarly Journal
0452-9502	Polish	Poland	Quarterly	1951-	Current	Scholarly Journal
0090-4260	English	United States	Quarterly	1973-	Current	Scholarly Journal
1467-0577	English	United Kingdom	Semi-annually	2001–2003	Ceased	Scholarly Journal
2192-9181	English	Germany	Semi-annually	2011–	Current	Scholarly Journal
1064-5586	English	United States	Semi-annually	1977-	Current	Scholarly Journal
0942-4954	German	German Federal Republic	Semi-annually	1992-	Current	Scholarly Journal
1215-234X	English	Hungary	Irregular	1991-	Current	Scholarly Journal
1532-3978	English	United States	Semi-annually	2001-	Current	Scholarly Journal
1753-0768	English	United Kingdom	Semi-annually	2007-	Current	Scholarly Journal
1474-2756	English	United Kingdom	3 times per year	2002-	Current	Scholarly Journal
1740-0309	English	United Kingdom	3 times per year	2003-	Current	Scholarly Journal
1077-4629	English	United States	Annually	1984–1997	Ceased	Scholarly Journal
0277-9897	English	United States	3 times per year	1981-	Current	Scholarly Journal
1934-9688	English	United Kingdom	Semi-annually	2007-	Current	Scholarly Journal
1050-9208	English	United States	Quarterly	1962-	Current	Scholarly Journal
0146-0013	English	United Kingdom	Quarterly	1976–1989	Ceased	Scholarly Journal
1754-3770	English	United Kingdom	Semi-annually	2008-	Current	Scholarly Journal
0036-9543	English	United Kingdom	Quarterly	1959-	Current	Scholarly Journal
1134-6795	Spanish	Spain	Semi-annually	1994-	Current	Scholarly Journal
1751-4193	English	United Kingdom	3 times per year	2008-	Current	Scholarly Journal
1750-3175	English	United Kingdom	3 times per year	2007-	Current	Scholarly Journal
1750-3280	English	United Kingdom	3 times per year	2007-	Current	Scholarly Journal
1741-1548	English	United Kingdom	3 times per year	2004-	Current	Scholarly Journal
1471-5880	English	United Kingdom	3 times per year	2001-	Current	Scholarly Journal
1478-0488	English	United Kingdom	Semi-annually	2004-	Current	Scholarly Journal
1750-3132	English	United Kingdom	3 times per year	2007-	Current	Scholarly Journal
1756-4921	English	United Kingdom	Semi-annually	2009-	Current	Scholarly Journal
1159-7941	French	France	Irregular	1990-	Current	Scholarly Journal
0149-1830	English	United States	Semi-annually	1971-	Current	Scholarly Journal
0168-2121	Dutch	Netherlands	3 times per year	1982–1992	Ceased	Scholarly Journal
0160-6840	English	United States	Quarterly	1976–1999	Ceased	Scholarly Journal
