Date	Opponent	Score	Loss	Attendance	Record
May 1	Houston Astros	4-2	Wheeler (0-1)	12,258	15-11
May 2	Houston Astros	5-8	Sheets (1-3)	12,664	15-12
May 3	San Francisco	0-2	Bush (2-3)	17,358	15-13
May 4	San Francisco	7-4	Hennessey (2-1)	21,038	16-13
May 5	@ Los Angeles Dodgers	3-4	Wise (2-2)	47,731	16-14
May 6	@ Los Angeles Dodgers	4-5	Demaria (0-1)	46,087	16-15
May 7	@ Los Angeles Dodgers	2-10	Bush (2-4)	53,532	16-16
May 9	@ San Diego Padres	5-4 (10)	Hoffman (0-1)	22,196	17-16
May 10	@ San Diego Padres	0-3	Capuano (4-3)	20,088	17-17
May 11	@ San Diego Padres	5-8	Hendrickson (0-1)	22,500	17-18
May 12	New York Mets	9-6	Lima (0-2)	26,362	18-18
May 13	New York Mets	8-9	Turnbow (0-1)	45,150	18-19
May 14	New York Mets	6-5 (10)	Bradford (2-2)	28,104	19-19
May 16	Philadelphia Phillies	3-2	Franklin (1-3)	14,592	20-19
May 17	Philadelphia Phillies	8-7	Rhodes (0-1)	20,874	21-19
May 18	Philadelphia Phillies	5-4	Ryan Madson (4-2)	27,419	22-19
May 19	Minnesota Twins	1-7	Davis (2-3)	28,462	22-20
May 20	Minnesota Twins	10-16	Hendrickson (0-2)	43,422	22-21
May 21	Minnesota Twins	5-3	Crain (0-2)	35,180	23-21
May 22	@ Cincinnati Reds	5-15	Bush (3-5)	16,567	23-22
May 23	@ Cincinnati Reds	3-7	Eveland (0-1)	16,528	23-23
May 24	@ Cincinnati Reds	6-2	Claussen (3-5)	29,065	24-23
May 26	@ Philadelphia Phillies	6-5 (10)	Gordon (2-2)	43,852	25-23
May 27	@ Philadelphia Phillies	9-6	Franklin (1-4)	32,089	26-23
May 28	@ Philadelphia Phillies	2-6	Eveland (0-2)	35,674	26-24
May 29	@ Pittsburgh Pirates	3-14	Davis (3-4)	17,561	26-25
May 30	@ Pittsburgh Pirates	1-12	de la Rosa (2-1)	14,300	26-26
May 31	@ Pittsburgh Pirates	1-6	Capuano (5-4)	15,434	26-27
