Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1954	Eddy B. Choong	Judy Devlin	Ooi Teik Hock Ong Poh Lim	Judy Devlin Susan Devlin	Joseph Cameron Alston Lois Alston
1955	Joseph C. Alston	Margaret Varner	Joe Alston T. Wynn Rogers	Judy Devlin Susan Devlin	Wynn Rogers Dorothy Hann
1956	Finn Kobberø	Judy Devlin	Finn Kobberø Jørgen Hammergaard Hansen	Ethel Marshall Beatrice Massman	Finn Kobberø Judy Devlin
1957	Finn Kobberø	Judy Devlin	Finn Kobberø Jørgen Hammergaard Hansen	Judy Devlin Susan Devlin	Finn Kobberø Judy Devlin
1958	James Richard Poole	Judy Devlin	Finn Kobberø Jørgen Hammergaard Hansen	Judy Devlin Susan Devlin	Finn Kobberø Jørgen Hammergaard Hansen
1959	Tan Joe Hok	Judy Devlin	Teh Kew San Lim Say Hup	Judy Devlin Susan Devlin	Michael Roche Judy Devlin
1960	Tan Joe Hok	Judy Devlin	Finn Kobberø Charoen Wattanasin	Judy Devlin Susan Devlin	Finn Kobberø Margaret Varner
1961	James Richard Poole	Judy Devlin	Joe Alston Wynn Rogers	Judy Devlin Hashman Susan Devlin Peard	Wynn Rogers Judy Devlin Hashman
1962	Ferry Sonneville	Judy Devlin	Joe Alston Wynn Rogers	Judy Hashman Patsy Stephens	Wynn Rogers Judy Hashman
1963	Erland Kops	Judy Devlin	Erland Kops Bob McCoig	Judy Hashman Susan Peard	Sangob Rattanusorn Margaret Barrand
1964	Channarong Ratanaseangsuang	Dorothy O'Neil	Joe Alston Wynn Rogers	Tyna Barinaga Caroline Jensen	Channarong Ratanaseangsuang Margaret Barrand
1965	Erland Kops	Judy Devlin	Bob McCoig Tony Jordan	Margaret Barrand Jennifer Pritchard	Bob McCoig Margaret Barrand
1966	Tan Aik Huang	Judy Devlin	Ng Boon Bee Tan Yee Khan	Judy Hashman Susan Peard	Wayne MacDonnell Tyna Barinaga
1967	Erland Kops	Judy Devlin	Erland Kops Joe Alston	Judy Hashman Rosine Jones Lemon	Jim Sydie Judy Hashman
1968	Channarong Ratanaseangsuang	Tyna Barinaga	Jim Poole Don Paup	Tyna Barinaga Helen Tibbetts	Larry Saben Carlene Starkey
1969	Rudy Hartono	Minarni	Ng Boon Bee Punch Gunalan	Minarni Retno Kustijah	Erland Kops Pernille Molgaard Hansen
1970	Junji Honma	Etsuko Takenaka	Junji Honma Ippei Kojima	Etsuko Takenaka Machiko Aizawa	Paul Whetnall Margaret Boxall
1971	Muljadi	Noriko Takagi	Ng Boon Bee Punch Gunalan	Noriko Takagi Hiroe Yuki	Jim Poole Maryanne Breckell
1972	Sture Johnsson	Eva Twedberg	Derek Talbot Elliot Stuart	Anne Berglund Pernille Kaagaard	Flemming Delfs Pernille Kaagaard
1973	Sture Johnsson	Eva Twedberg	Jim Poole Don Paup	Pam Brady Diane Hales	Sture Johnsson Eva Twedberg
1974 1975	no competition	no competition	no competition	no competition	no competition
1976	Paul Whetnall	Gillian Gilks	Willi Braun Roland Maywald	Gillian Gilks Susan Whetnall	David Eddy Susan Whetnall
1977 1982	no competition	no competition	no competition	no competition	no competition
1983	Mike Butler	Sherrie Liu	John Britton Gary Higgins	Claire Backhouse Johanne Falardeau	Mike Butler Claire Backhouse
1984	Xiong Guobao	Luo Yun	Chen Hongyong Zhang Qingwu	Yin Haichen Lu Yanahua	Wang Pengren Luo Yun
1985	Mike Butler	Claire Backhouse Sharpe	John Britton Gary Higgins	Claire Sharpe Sandra Skillings	Mike Butler Claire Sharpe
1986	Sung Han-kuk	Denyse Julien	Yao Ximing Tariq Wadood	Denyse Julien Johanne Falardeau	Mike Butler Johanne Falardeau
1987	Park Sun-bae	Chun Suk-sun	Lee Deuk-choon Lee Sang-bok	Kim Ho Ja Chung So-young	Lee Deuk-choon Chung So-young
1988	Sze Yu	Lee Myeong-hee	Christian Hadinata Lius Pongoh	Kim Ho Ja Chung So-young	Christian Hadinata Ivana Lie
1989	no competition	no competition	no competition	no competition	no competition
1990	Fung Permadi	Denyse Julien	Ger Shin-Ming Yang Shih-Jeng	Denyse Julien Doris Piché	Tariq Wadood Traci Britton
1991	Steve Butler	Shim Eun-jung	Jalani Sidek Razif Sidek	Shim Eun-jung Kang Bok-seung	Lee Sang-bok Shim Eun-jung
1992	Poul-Erik Hoyer-Larsen	Lim Xiaoqing	Cheah Soon Kit Soo Beng Kiang	Lim Xiaoqing Christine Magnusson	Thomas Lund Pernille Dupont
1993	Marleve Mainaky	Lim Xiaoqing	Thomas Lund Jon Holst-Christensen	Gil Young-ah Chung So-young	Thomas Lund Catrine Bengtsson
1994	Thomas Stuer-Lauridsen	Liu Guimei	Ade Sutrisna Candra Wijaya	Rikke Olsen Helene Kirkegaard	Jens Eriksen Rikke Olsen
1995	Hermawan Susanto	Ye Zhaoying	Rudy Gunawan Joko Suprianto	Gil Young-ah Jang Hye-ock	Kim Dong-moon Gil Young-ah
1996	Joko Suprianto	Mia Audina	Candra Wijaya Sigit Budiarto	Zelin Resiana Eliza Nathanael	Kim Dong-moon Chung So-young
1997	Poul-Erik Hoyer-Larsen	Camilla Martin	Ha Tae-kwon Kim Dong-moon	Qin Yiyuan Tang Yongshu	Kim Dong Moon Ra Kyung-min
1998	Fung Permadi	Tang Yeping	Horng Shin-Jeng Lee Wei-Jen	Elinor Middlemiss Kirsteen McEwan	Kenny Middlemiss Elinor Middlemiss
1999	Colin Haughton	Pi Hongyan	Michael Lamp Jonas Rasmussen	Huang Nanyan Lu Ying	Jonas Rasmussen Jane F. Bramsen
2000	Ardy Wiranata	Choi Ma-re	Graham Hurrell James Anderson	Gail Emms Joanne Wright	Jonas Rasmussen Jane F. Bramsen
2001	Lee Hyun-il	Ra Kyung-min	Kang Kyung-jin Park Young-duk	Kim Kyeung-ran Ra Kyung-min	Mathias Boe Majken Vange
2002	Peter Gade	Julia Mann	Tony Gunawan Khan Malaythong	Joanne Wright Natalie Munt	Tony Gunawan Etty Tantri
2003	Chien Yu-hsiu	Kelly Morgan	Tony Gunawan Khan Malaythong	Yoshiko Iwata Miyuki Tai	Tony Gunawan Eti Gunawan
