Position	Team	Points	Played	Drawn	Lost	Against	Difference
1	Cruzeiro	100	46	7	8	47	55
2	Santos	87	46	12	9	60	33
3	São Paulo	78	46	12	12	67	14
4	São Caetano	74	46	14	13	37	16
5	Coritiba	73	46	10	15	58	9
6	Internacional	72	46	10	16	57	2
7	Atlético-MG	72	46	15	12	62	14
8	Flamengo	66	46	12	16	73	- 7
9	Goiás	65	46	11	17	63	15
10	Paraná	65	46	11	17	75	10
11	Figueirense	65	46	14	15	54	8
12	Atlético-PR	61	46	10	19	72	- 5
13	Guarani	61	46	10	19	72	- 8
14	Criciúma	60	46	9	20	69	- 12
15	Corinthians	59	46	12	19	63	- 2
16	Vitória	56	46	11	20	64	- 14
17	Vasco	54	46	15	18	69	- 12
18	Juventude	53	46	14	20	70	- 15
19	Fluminense	52	46	11	22	77	- 25
20	Grêmio	50	46	11	22	68	- 12
21	Ponte Preta	50	46	18	17	73	- 10
22	Paysandu	49	46	12	19	77	3
23	Fortaleza	49	46	13	21	74	- 16
24	Bahia	46	46	10	24	92	- 33
