Date	Opponent	Score	Loss	Record
June 1	Indians	8 - 3	Blyleven (3-6)	31-15
June 2	Indians	5 - 4	Stieb (5-4)	31-16
June 2	Indians	5 - 2	Behenna (0-1)	32-16
June 4	Twins	9 - 2	Viola (6-5)	33-16
June 5	Twins	5 - 0	Smithson (4-5)	34-16
June 6	Tigers	2 - 0 (12)	López (0-4)	35-16
June 7	Tigers	9 - 2	Terrell (6-2)	36-16
June 8	Tigers	10 - 1	Leal (3-4)	36-17
June 9	Tigers	8 - 3	Clancy (2-3)	36-18
June 10	@ Yankees	4 - 2	Alexander (7-3)	36-19
June 11	@ Yankees	4 - 1 (11)	Fisher (2-1)	37-19
June 12	@ Yankees	3 - 2 (10)	Bordi (1-1)	38-19
June 13	@ Red Sox	8 - 7	Lavelle (2-1)	38-20
June 14	@ Red Sox	4 - 1	Clancy (2-4)	38-21
June 15	@ Red Sox	7 - 5	Acker (3-1)	38-22
June 16	@ Red Sox	7 - 6	Lavelle (2-2)	38-23
June 17	@ Brewers	2 - 1	Stieb (6-5)	38-24
June 18	@ Brewers	4 - 1	Leal (3-5)	38-25
June 19	@ Brewers	5 - 1	Vuckovich (2-5)	39-25
June 20	Red Sox	6 - 5	Stanley (2-3)	40-25
June 21	Red Sox	7 - 2	Hurst (2-7)	41-25
June 22	Red Sox	5 - 3	Acker (4-2)	41-26
June 23	Red Sox	8 - 1	Kison (3-2)	42-26
June 25	Brewers	7 - 1	Burris (4-6)	43-26
June 26	Brewers	5 - 4	Alexander (7-4)	43-27
June 27	Brewers	7 - 3	Higuera (4-5)	44-27
June 28	@ Tigers	2 - 0	Petry (9-6)	45-27
June 29	@ Tigers	8 - 0	Leal (3-6)	45-28
June 30	@ Tigers	6 - 5	López (1-5)	46-28
