Season	League	Rank	Games	Points	GF	GA	Manager	Top Scorer	Goals
1999-00	Eredivisie	14	34	33	41	60	Rob McDonald	Eric Viscaal	10
2000-01	Eredivisie	15	34	31	44	66	Jurrie Koolhof	Marino Promes	8
2001-02	Eredivisie	14	34	37	43	55	Jurrie Koolhof	Martijn Meerdink	10
2002-03	Eredivisie	18	34	23	35	84	Peter Bosz	Hans van de Haar	11
2003-04	Eerste divisie	6	36	64	63	43	Frans Adelaar	Jhon van Beukering / Hilmi Mihci	9
2004-05	Eredivisie	17	34	23	32	78	Gert Kruys / Andries Ulderink	Jhon van Beukering	9
2005-06	Eerste divisie	5	38	62	63	51	Jan de Jonge	Donny de Groot	13
2006-07	Eerste divisie	1	38	83	88	41	Jan de Jonge	Berry Powel	29
2007-08	Eredivisie	16	34	30	33	64	Jan de Jonge	Donny de Groot	8
2008-09	Eredivisie	17	34	30	24	58	Henk van Stee / Darije Kalezić	Jason Oost / Ben Sahar	5
2009-10	Eerste divisie	1	38	81	85	34	Darije Kalezić	Hugo Bargas	16
