Name	Team	Qual 1	Qual 2	Best
Sébastien Bourdais	Newman/Haas Racing	59.718	59.229	59.229
Bruno Junqueira	Newman/Haas Racing	59.266	1:00.067	59.266
Paul Tracy	Forsythe Racing	59.791	59.314	59.314
Justin Wilson	Mi-Jack Conquest Racing	1:00.344	59.414	59.414
A. J. Allmendinger	RuSPORT	59.803	59.654	59.654
Mario Domínguez	Herdez Competition	1:00.097	59.757	59.757
Alex Tagliani	Rocketsports Racing	59.900	1:00.342	59.900
Michel Jourdain, Jr.	RuSPORT	1:00.205	59.900	59.900
Jimmy Vasser	PKV Racing	1:00.439	59.922	59.922
Ryan Hunter-Reay	Herdez Competition	1:00.088	59.926	59.926
Roberto González	PKV Racing	1:00.081	59.987	59.987
Rodolfo Lavín	Forsythe Racing	1:00.530	1:00.099	1:00.099
Patrick Carpentier	Forsythe Racing	1:00.182	−	1:00.182
Oriol Servià	Dale Coyne Racing	1:04.785	1:00.206	1:00.206
Mario Haberfeld	Walker Racing	1:00.971	1:00.678	1:00.678
Gastón Mazzacane	Dale Coyne Racing	1:00.833	1:01.410	1:00.833
Alex Sperafico	Mi-Jack Conquest Racing	1:01.333	1:01.442	1:01.333
Nelson Philippe	Rocketsports Racing	1:01.531	1:02.060	1:01.531
