Player	Club	League	FA Cup	FA Trophy	League Cup	Total
Gary Bull	Barnet	30	2	0	0	32
Mark West	Wycombe Wanderers	24	6	3	0	33
Ken McKenna	Altrincham	22	3	3	2	30
Mark Carter	Barnet	19	0	1	1	21
Paul Randall	Bath City	19	0	3	0	22
Colin Cowperthwaite	Barrow	18	0	1	2	21
Terry Robbins	Welling United	18	2	0	1	21
Mario Walsh	Colchester United	17	0	1	0	18
Paul Cavell	Boston United	16	5	2	1	24
Nicky Evans	Barnet	16	5	0	0	21
Charlie Butler	Gateshead	15	0	0	1	16
Peter Howell	Kidderminster Harriers	15	0	4	1	20
John Askey	Macclesfield Town	14	0	0	0	14
John Brady	Altrincham	14	1	2	0	17
Kim Casey	Cheltenham Town	14	2	1	0	17
