Club	League/Division	Home Ground	Location	Position in 2012-13
Sai Kung	Fourth Division	N/A	N/A	7th, Fourth Division
Sai Kung Friends	Fourth Division	N/A	N/A	5th, Fourth Division
Sham Shui Po	Third Division	N/A	N/A	11th, Second Division (relegated)
Shatin	Second Division	Ma On Shan Recreation Ground	Ma On Shan , New Territories	7th, Second Division
Solon	Fourth Division	N/A	N/A	9th, Fourth Division
South China	First Division	Hong Kong Stadium	So Kon Po , Hong Kong Island	1st, First Division
Southern	First Division	Aberdeen Sports Ground	Aberdeen , Hong Kong Island	4th, First Division
St. Joseph's	Fourth Division	N/A	N/A	6th, Fourth Division
Sunray Cave JC Sun Hei	First Division	Tsing Yi Sports Ground	Tsing Yi , New Territories	7th, First Division
Sun Pegasus	First Division	Mong Kok Stadium	Mong Kok , Kowloon	5th, First Division
Sun Source	Third Division	N/A	N/A	4th, Fourth Division (promoted)
