Year	Country	Course	Location	Total score	To par [a ]
1860	Scotland	Prestwick Golf Club	Prestwick , Scotland	174	n/a
1861	Scotland	Prestwick Golf Club	Prestwick , Scotland	163	n/a
1862	Scotland	Prestwick Golf Club	Prestwick , Scotland	163	n/a
1863	Scotland	Prestwick Golf Club	Prestwick , Scotland	168	n/a
1864	Scotland	Prestwick Golf Club	Prestwick , Scotland	167	n/a
1865	Scotland	Prestwick Golf Club	Prestwick , Scotland	162	n/a
1866	Scotland	Prestwick Golf Club	Prestwick , Scotland	169	n/a
1867	Scotland	Prestwick Golf Club	Prestwick , Scotland	170	n/a
1868	Scotland	Prestwick Golf Club	Prestwick , Scotland	154	n/a
1869	Scotland	Prestwick Golf Club	Prestwick , Scotland	157	n/a
1870	Scotland	Prestwick Golf Club	Prestwick , Scotland	149	n/a
1871	—	—	—	—	—
1872	Scotland	Prestwick Golf Club	Prestwick , Scotland	166	n/a
1873	Scotland	St Andrews	St Andrews , Scotland	179	n/a
1874	Scotland	Musselburgh Links	Musselburgh , Scotland	159	n/a
1875	Scotland	Prestwick Golf Club	Prestwick , Scotland	166	n/a
1876	Scotland	St Andrews	St Andrews , Scotland	176	n/a
1877	Scotland	Musselburgh Links	Musselburgh , Scotland	160	n/a
1878	Scotland	Prestwick Golf Club	Prestwick , Scotland	157	n/a
1879	Scotland	St Andrews	St Andrews , Scotland	169	n/a
1880	Scotland	Musselburgh Links	Musselburgh , Scotland	162	n/a
1881	Scotland	Prestwick Golf Club	Prestwick , Scotland	170	n/a
1882	Scotland	St Andrews	St Andrews , Scotland	171	n/a
1883	Scotland	Musselburgh Links	Musselburgh , Scotland	159	n/a
1884	Scotland	Prestwick Golf Club	Prestwick , Scotland	160	n/a
1885	Scotland	St Andrews	St Andrews , Scotland	171	n/a
1886	Scotland	Musselburgh Links	Musselburgh , Scotland	157	n/a
1887	Scotland	Prestwick Golf Club	Prestwick , Scotland	161	n/a
1888	Scotland	St Andrews	St Andrews , Scotland	171	n/a
1889	Scotland	Musselburgh Links	Musselburgh , Scotland	155	n/a
1890	England	Prestwick Golf Club	Prestwick , Scotland	162	n/a
1891	Scotland	St Andrews	St Andrews , Scotland	166	n/a
1892	England	Muirfield	Gullane , Scotland	305	+21
1893	Scotland	Prestwick Golf Club	Prestwick , Scotland	322	+38
1894	England	Royal St George's	Sandwich , England	326	+46
1895	England	St Andrews	St Andrews , Scotland	332	+44
1896	Jersey	Muirfield	Gullane , Scotland	316	+32
1897	England	Royal Liverpool	Hoylake , England	314	+26
1898	Jersey	Prestwick Golf Club	Prestwick , Scotland	307	+23
1899	Jersey	Royal St George's	Sandwich , England	310	+30
1900	England	St Andrews	St Andrews , Scotland	309	+21
1901	Scotland	Muirfield	Gullane , Scotland	309	+25
1902	Scotland	Royal Liverpool	Hoylake , England	307	+19
