Year	Entrant	Chassis	Engine	Points
1956	Scuderia Ferrari	Lancia-Ferrari D50	Ferrari V8	0
1957	Scuderia Ferrari	Lancia-Ferrari D50A	Ferrari V8	4
1957	Scuderia Ferrari	Ferrari 801	Ferrari V8	4
1958	Scuderia Ferrari	Ferrari Dino 246	Ferrari V6	9
1959	Dr Ing hcf Porsche KG	Porsche 718 F2	Porsche Flat-4	0
1959	Scuderia Ferrari	Ferrari Dino 246	Ferrari V6	0
1960	Scuderia Ferrari	Ferrari Dino 246	Ferrari V6	10
1960	Scuderia Ferrari	Ferrari 246P F2	Ferrari V6	10
1960	Scuderia Centro Sud	Cooper T51	Maserati Straight-4	10
1961	Scuderia Ferrari	Ferrari 156	Ferrari V6	33
