Year	Class	Team	Points	Rank	Wins
1972	125cc	Aermacchi	2	38th	0
1972	350cc	Aermacchi	3	30th	0
1973	250cc	Harley Davidson	45	5th	0
1973	350cc	Harley Davidson	4	34th	0
1973	500cc	Harley Davidson	6	28th	0
1974	250cc	Harley Davidson	21	9th	0
1974	350cc	Harley Davidson	25	7th	0
1974	500cc	Harley Davidson	14	16th	0
1975	250cc	Harley Davidson	76	2nd	2
1975	500cc	Harley Davidson	4	28th	0
1976	500cc	Suzuki	16	14th	0
1977	250cc	Yamaha	5	27th	0
1977	350cc	Yamaha	50	4th	1
1977	500cc	Suzuki	21	13th	0
1978	350cc	Yamaha	47	6th	0
1978	500cc	Suzuki	23	10th	0
1979	350cc	Yamaha	10	17th	0
1979	500cc	Suzuki	16	15th	0
1980	500cc	Suzuki	4	17th	0
1981	350cc	Yamaha	1	32nd	0
