Call sign	Frequency MHz	City of license	ERP W	FCC info
KFLQ	91.5	Albuquerque, New Mexico	20,000	[http://www.fcc.gov/fcc-bin/fmq?call= KFLQ FCC]
KWFL	99.3	Roswell, New Mexico	16,500	[http://www.fcc.gov/fcc-bin/fmq?call= KWFL FCC]
K205EX	88.9	Clovis, New Mexico	60	FCC
K208DL	89.5	Las Vegas, New Mexico	250	FCC
K208ED	89.5	Deming, New Mexico	50	FCC
K209EG	89.7	Artesia, New Mexico	10	FCC
K211DW	90.1	Tucumcari, New Mexico	28	FCC
K212BB	90.3	Alamogordo, New Mexico	11	FCC
K215EK	90.9	Carlsbad, New Mexico	92	FCC
K264BA	100.7	Portales, New Mexico	250	FCC
K297AE	107.3	Ruidoso, New Mexico	9	FCC
