Producer	Product	Samples taken	Samples failed	Melamine content(mg/kg)
Shijiazhuang Sanlu Group	三鹿牌嬰幼兒配方乳粉	11	11	2563
Shanghai Panda Dairy	熊貓可寶牌嬰幼兒配方乳粉	5	3	619
Qingdao Shengyuan Dairy	聖元牌嬰幼兒配方乳粉	17	8	150
Shanxi Gu Cheng Dairy	古城牌嬰幼兒配方乳粉	13	4	141.6
Jiangxi Guangming Yingxiong Dairy	英雄牌嬰幼兒配方乳粉	2	2	98.6
Baoji Huimin Dairy	惠民牌嬰幼兒配方乳粉	1	1	79.17
Inner Mongolia Mengniu Dairy	蒙牛牌嬰幼兒配方乳粉	28	3	68.2
Torador Dairy Industry (Tianjin)	可淇牌嬰幼兒配方乳粉	1	1	67.94
Guangdong Yashili Group	雅士利牌嬰幼兒配方乳粉	30	8	53.4
Hunan Peiyi Dairy	南山倍益牌嬰幼兒配方乳粉	3	1	53.4
Heilongjiang Qilin Dairy	嬰幼兒配方乳粉2段基粉	1	1	31.74
Shanxi Yashili Dairy	雅士利牌嬰幼兒配方乳粉	4	2	26.3
Shenzhen Jinbishi Milk	金必氏牌嬰幼兒配方乳粉	2	2	18
Scient (Guangzhou) Infant Nutrition	施恩牌嬰幼兒配方乳粉	20	14	17
Guangzhou Jinding Dairy Products Factory	金鼎牌嬰幼兒配方乳粉	3	1	16.2
Inner Mongolia Yili Industrial Group	伊利牌兒童配方乳粉	35	1	12
Yantai Ausmeadow Nutriment	澳美多牌嬰幼兒配方乳粉	16	6	10.7
Qingdao Suncare Nutritional Technology	愛可丁牌嬰幼兒配方乳粉	3	1	4.8
Xi'an Baiyue Dairy	御寶牌嬰幼兒配方乳粉	3	1	3.73
Yantai Leilei Dairy	磊磊牌嬰幼兒配方乳粉	3	3	1.2
Shanghai Baoanli Dairy	寶安力牌嬰幼兒配方乳粉	1	1	0.21
Fuding Chenguan Dairy	聰爾壯牌嬰幼兒配方乳粉	1	1	0.09
