Week	Date	Opponent	Result	Attendance
1	September 12, 1999	at Tennessee Titans	L 36–35	65,272
2	September 19, 1999	San Diego Chargers	L 34–7	47,660
3	September 26, 1999	at Carolina Panthers	L 27–3	61,269
4	October 3, 1999	St. Louis Rams	L 38–10	45,481
5	October 10, 1999	at Cleveland Browns	W 18–17	73,048
6	October 17, 1999	Pittsburgh Steelers	L 17–3	59,669
7	October 24, 1999	at Indianapolis Colts	L 31–10	55,996
8	October 31, 1999	Jacksonville Jaguars	L 41–10	49,138
9	November 7, 1999	at Seattle Seahawks	L 37–20	66,303
10	November 14, 1999	Tennessee Titans	L 24–14	46,017
11	November 21, 1999	Baltimore Ravens	L 34–31	43,279
12	November 28, 1999	at Pittsburgh Steelers	W 27–20	50,907
13	December 5, 1999	San Francisco 49ers	W 44–30	53,463
14	December 12, 1999	Cleveland Browns	W 44–28	59,972
15	Bye	Bye	Bye	Bye
16	December 26, 1999	at Baltimore Ravens	L 22–0	68,036
17	January 2, 2000	at Jacksonville Jaguars	L 24–7	70,532
