Place	Player	Country	Score	To par	Money ( £ )
1	Sandy Lyle	Scotland	68-71-73-70=282	+2	65,000
2	Payne Stewart	United States	70-75-70-68=283	+3	43,000
T3	David Graham	Australia	68-71-70-75=284	+4	23,600
T3	Bernhard Langer	West Germany	72-69-68-75=284	+4	23,600
T3	Christy O'Connor Jnr	Ireland	64-76-72-72=284	+4	23,600
T3	Mark O'Meara	United States	70-72-70-72=284	+4	23,600
T3	José Rivero	Spain	74-72-70-68=284	+4	23,600
T8	Anders Forsbrand	Sweden	70-76-69-70=285	+5	15,567
T8	Tom Kite	United States	73-73-67-72=285	+5	15,567
T8	D. A. Weibring	United States	69-71-74-71=285	+5	15,567
