City / Municipality	No. of s Barangay	Population (2010)	Area (km²)	Pop. density (per km²)
Adams	1	1785	159.31	11.2
Bacarra	43	31648	65.32	484.5
Badoc	31	30708	76.68	400.5
Bangui	15	15025	112.98	133
Banna (Espiritu)	20	19051	92.73	205.4
Batac City	43	53542	161.06	332.4
Burgos	11	9687	128.90	75.2
Carasi	3	1473	82.97	17.8
Currimao	23	11970	34.08	351.2
Dingras	31	37021	96.00	385.6
Dumalneg	1	1814	88.48	20.5
Laoag City	80	104904	116.08	903.7
Marcos	13	16984	72.77	233.4
Nueva Era	11	7837	515.02	15.2
Pagudpud	16	21877	194.90	112.2
Paoay	31	23956	76.24	314.2
Pasuquin	33	27952	210.54	132.8
Piddig	23	20606	216.20	95.3
Pinili	25	16732	89.48	187
San Nicolas	24	34237	40.18	852.1
Sarrat	24	24770	57.39	431.6
Solsona	22	22990	166.23	138.3
