Team	Stadium	Capacity	Turf	Total	Games	Average	% of Capacity
Lyn	Ullevaal Stadion	25,572	Natural	86,359	13	6,643	25.97
Vålerenga	Ullevaal Stadion	25,572	Natural	165,106	13	12,700	49.66
Rosenborg	Lerkendal stadion	21,850	Natural	246,443	13	18,957	86.76
Brann	Brann stadion	17,967	Natural	220,407	13	16,954	94.36
Viking	Viking Stadion	16,600	Natural	199,927	13	15,379	92.64
Fredrikstad	Nye Fredrikstad stadion	12,800	Natural	149,798	13	11,523	90.02
Lillestrøm	Åråsen stadion	11,637	Natural	114,242	13	8,788	75.51
Molde	Aker Stadion	11,167	Natural	106,645	13	8,203	73.45
Aalesund	Color Line Stadion	10,778	Artificial	134,725	13	10,363	96.14
Strømsgodset	Marienlyst stadion	8,500	Artificial	76,890	13	5,915	69.58
Tromsø	Alfheim stadion	8,159	Artificial	71,261	13	5,482	67.18
Bodø/Glimt	Aspmyra stadion	7,659	Artificial	71,533	13	5,503	71.85
HamKam	Briskeby gressbane	7,500	Natural	66,647	13	5,127	68.36
Stabæk	Nadderud stadion	6,550	Natural	75,203	13	5,785	88.32
