Model Number	Frequency	L2-Cache	Multiplier 1	Voltage	Socket	Release date	Order Part Number
Turion 64 X2 TL-56	1800MHz	2 x 512 KB	9x	1.075/1.10/1.125 V	g Socket S1 1	May 7, 2007	TMDTL56HAX5DC
Turion 64 X2 TL-56	1800MHz	2 x 512 KB	9x	1.075/1.10/1.125 V	Socket S1g1	May 7, 2007	TMDTL56HAX5DM
Turion 64 X2 TL-58	1900MHz	2 x 512 KB	9.5x	1.075/1.10/1.125 V	Socket S1g1	May 7, 2007	TMDTL58HAX5DC
Turion 64 X2 TL-58	1900MHz	2 x 512 KB	9.5x	1.075/1.10/1.125 V	Socket S1g1	May 7, 2007	TMDTL58HAX5DM
Turion 64 X2 TL-60	2000MHz	2 x 512 KB	10x	1.075/1.10/1.125 V	Socket S1g1	May 7, 2007	TMDTL60HAX5DC
Turion 64 X2 TL-60	2000MHz	2 x 512 KB	10x	1.075/1.10/1.125 V	Socket S1g1	May 7, 2007	TMDTL60HAX5DM
Turion 64 X2 TL-62	2100MHz	2 x 512 KB	10.5x	1.075/1.10/1.125 V	Socket S1g1	May 7, 2007	TMDTL62HAX5DM
Turion 64 X2 TL-64	2200MHz	2 x 512 KB	11x	1.075/1.10/1.125 V	Socket S1g1	May 7, 2007	TMDTL64HAX5DC
Turion 64 X2 TL-64	2200MHz	2 x 512 KB	11x	1.075/1.10/1.125 V	Socket S1g1	May 7, 2007	TMDTL64HAX5DM
Turion 64 X2 TL-66	2300MHz	2 x 512 KB	11.5x	1.075/1.10/1.125 V	Socket S1g1	May 7, 2007	TMDTL66HAX5DC
Turion 64 X2 TL-66	2300MHz	2 x 512 KB	11.5x	1.075/1.10/1.125 V	Socket S1g1	May 7, 2007	TMDTL66HAX5DM
Turion 64 X2 TL-68	2400MHz	2 x 512 KB	12x	1.075/1.10/1.125 V	Socket S1g1	Dec 19, 2007	TMDTL68HAX5DM
