Year (Ceremony)	Film title used in nomination	Original title	Director	Result
1956 (29th)	Afternoon of the Bulls	Tarde de toros	Ladislao Vajda Category:Articles with hCards	Not Nominated
1957 (30th)	High Street	Calle Mayor	Juan Antonio Bardem Category:Articles with hCards	Not Nominated
1958 (31st)	La Venganza	La venganza	Juan Antonio Bardem Category:Articles with hCards	Nominee
1960 (33rd)	At Five O'Clock in the Afternoon	A las cinco de la tarde	Juan Antonio Bardem Category:Articles with hCards	Not Nominated
1961 (34th)	Plácido	Plácido	Luis García Berlanga Category:Articles with hCards	Nominee
1962 (35th)	Dulcinea	Dulcinea	Vicente Escrivá Category:Articles with hCards	Not Nominated
1964 (37th)	The Girl in Mourning	La niña de luto	Manuel Summers Category:Articles with hCards	Not Nominated
1965 (38th)	La Tía Tula	La tía Tula	Miguel Picazo Category:Articles with hCards	Not Nominated
1968 (41st)	Spain Again	España otra vez	Jaime Camino Category:Articles with hCards	Not Nominated
1970 (43rd)	Tristana	Tristana	Luis Buñuel Category:Articles with hCards	Nominee
1972 (45th)	My Dearest Senorita	Mi querida señorita	Jaime de Armiñán Category:Articles with hCards	Nominee
1974 (47th)	La prima Angélica	La prima Angélica	Carlos Saura Category:Articles with hCards	Not Nominated
1975 (48th)	Poachers	Furtivos	José Luis Borau Category:Articles with hCards	Not Nominated
1976 (49th)	Raise Ravens	Cría cuervos	Carlos Saura Category:Articles with hCards	Not Nominated
1979 (52nd)	Mama Turns a Hundred	Mamá cumple cien años	Carlos Saura Category:Articles with hCards	Nominee
1980 (53rd)	The Nest	El nido	Jaime de Armiñán Category:Articles with hCards	Nominee
1981 (54th)	Patrimonio nacional	Patrimonio nacional	Luis García Berlanga Category:Articles with hCards	Not Nominated
1982 (55th)	Begin the Beguine	Volver a empezar	José Luis Garci Category:Articles with hCards	Won Academy Award
1983 (56th)	Carmen	Carmen	Carlos Saura Category:Articles with hCards	Nominee
1984 (57th)	Double Feature	Sesión continua	José Luis Garci Category:Articles with hCards	Nominee
1985 (58th)	The Witching Hour	La hora bruja	Jaime de Armiñán Category:Articles with hCards	Not Nominated
1987 (60th)	Course Completed	Asignatura aprobada	José Luis Garci Category:Articles with hCards	Nominee
1988 (61st)	Women on the Verge of a Nervous Breakdown	Mujeres al borde de un ataque de nervios	Pedro Almodóvar Category:Articles with hCards	Nominee
1989 (62nd)	Love, Hate and Death	Montoyas y Tarantos	Vicente Escrivá Category:Articles with hCards	Not Nominated
1990 (63rd)	Ay, Carmela!	¡Ay, Carmela!	Carlos Saura Category:Articles with hCards	Not Nominated
1991 (64th)	High Heels	Tacones lejanos	Pedro Almodóvar Category:Articles with hCards	Not Nominated
1992 (65th)	The Fencing Master	El maestro de esgrima	Pedro Olea Category:Articles with hCards	Not Nominated
1993 (66th)	Belle Époque	Belle Époque	Fernando Trueba Category:Articles with hCards	Won Academy Award
1994 (67th)	Cradle Song	Canción de cuna	José Luis Garci Category:Articles with hCards	Not Nominated
1995 (68th)	The Flower of My Secret	La flor de mi secreto	Pedro Almodóvar Category:Articles with hCards	Not Nominated
1996 (69th)	Bwana	Bwana	Imanol Uribe Category:Articles with hCards	Not Nominated
1997 (70th)	Secrets of the Heart	Secretos del corazón	Montxo Armendáriz Category:Articles with hCards	Nominee
1998 (71st)	The Grandfather	El abuelo	José Luis Garci Category:Articles with hCards	Nominee
1999 (72nd)	All About My Mother	Todo sobre mi madre	Pedro Almodóvar Category:Articles with hCards	Won Academy Award
2000 (73rd)	You're the One	You're the One: Una historia de entonces	José Luis Garci Category:Articles with hCards	Not Nominated
2001 (74th)	Mad Love [9 ]	Juana la Loca	Vicente Aranda Category:Articles with hCards	Not Nominated
2003 (76th)	Soldados de Salamina [7 ]	Soldados de Salamina	David Trueba Category:Articles with hCards	Not Nominated
2004 (77th)	The Sea Inside [6 ]	Mar adentro	Alejandro Amenábar Category:Articles with hCards	Won Academy Award
2005 (78th)	Obaba [5 ]	Obaba	Montxo Armendáriz Category:Articles with hCards	Not Nominated
2006 (79th)	Volver [4 ]	Volver	Pedro Almodóvar Category:Articles with hCards	Made January Shortlist
2007 (80th)	The Orphanage [3 ]	El orfanato	Juan Antonio Bayona Category:Articles with hCards	Not Nominated
2008 (81st)	The Blind Sunflowers [2 ]	Los girasoles ciegos	José Luis Cuerda Category:Articles with hCards	Not Nominated
2009 (82nd)	The Dancer and the Thief [1 ]	El baile de la Victoria	Fernando Trueba Category:Articles with hCards	Not Nominated
2010 (83rd)	Even the Rain	También la lluvia	Icíar Bollaín Category:Articles with hCards	Made January Shortlist
2011 (84th)	Black Bread	Pa negre	Agustí Villaronga Category:Articles with hCards	Not Nominated
2012 (85th)	Blancanieves	Blancanieves	Pablo Berger Category:Articles with hCards	Not Nominated
