Place	Player	Country	Score	To par	Money ( £ )
1	David Duval	United States	69-73-65-67=274	−10	600,000
2	Niclas Fasth	Sweden	69-69-72-67=277	−7	360,000
T3	Darren Clarke	Northern Ireland	70-69-69-70=278	−6	141,667
T3	Ernie Els	South Africa	71-71-67-69=278	−6	141,667
T3	Miguel Ángel Jiménez	Spain	69-72-67-70=278	−6	141,667
T3	Bernhard Langer	Germany	71-69-67-71=278	−6	141,667
T3	Billy Mayfair	United States	69-72-67-70=278	−6	141,667
T3	Ian Woosnam	Wales	72-68-67-71=278	−6	141,667
T9	Sergio García	Spain	70-72-67-70=279	−5	63,750
T9	Mikko Ilonen	Finland	68-75-70-66=279	−5	63,750
T9	Jesper Parnevik	Sweden	69-68-71-71=279	−5	63,750
T9	Kevin Sutherland	United States	75-69-68-67=279	−5	63,750
