County	Per capita income	Median household income	Median family income	Population	Number of households
Rockingham	$37,422	$77,470	$92,835	295,223	115,033
Hillsborough	$33,653	$70,591	$83,636	400,721	155,466
New Hampshire	$32,357	$64,664	$78,310	1,316,470	518,973
Merrimack	$31,403	$65,722	$78,998	146,445	57,069
Belknap	$29,449	$56,921	$67,768	60,088	24,766
Strafford	$29,405	$59,082	$74,319	123,143	47,100
Carroll	$29,194	$50,555	$60,530	47,818	21,052
Grafton	$29,090	$53,000	$66,701	89,118	35,986
United States	$27,915	$52,762	$64,293	308,745,538	116,716,292
Cheshire	$27,459	$55,241	$69,203	77,117	30,204
Sullivan	$27,223	$51,678	$63,682	43,742	18,126
Coos	$23,580	$41,087	$52,676	33,055	14,171
