Season	Passenger	Equipment	Position	Points	Races	Wins	Second	Third
1994	Reiner Stuyvenberg	Honda- EML	23	30	2	—	1	—
1995	Bruno Bouvet	Honda-EML	25	8	2	—	—	—
1995	Christian Verhagen	Honda-EML	25	4	2	—	—	—
1995	Marcel Willemsen	Honda-EML	25	10	2	—	—	—
1996	Marcel Willemsen	Zabel-EML	12	82	16	2	—	—
1997	Marcel Willemsen	Zabel -BSU	3	231	14	5	4	2
1997	Sven Verbrugge	Zabel -BSU	3	40	2	2	—	—
1998	Marcel Willemsen	Zabel-BSU	2	279	18	6	7	2
1999	Marcel Willemsen	Zabel-BSU	1	386	24	13	5	1
2000	Sven Verbrugge	Zabel-BSU	2	320	22	5	4	7
2001	Sven Verbrugge	Zabel-BSU	2	377	22	8	5	3
2001	Premsyl Novotny	Zabel-BSU	2	50	2	2	—	—
2002	Alfons Eggers	Zabel- VMC	2	145	8	1	5	—
2002	Sven Verbrugge	Zabel- VMC	2	88	4	—	4	—
2002	Bart Notten	Zabel- VMC	2	86	4	—	3	1
2002	Dagwin Sabbe	Zabel- VMC	2	199	12	1	5	1
2003	Kaspars Stupelis	Zabel-VMC	1	561	24	13	9	—
2004	Kaspars Stupelis	Zabel-VMC	1	572	26	18	4	1
2005	Sven Verbrugge	Zabel-VMC	1	478	22	15	4	—
2006	Sven Verbrugge	Zabel-VMC	1	341	16	13	—	—
2007	Reto Grütter	Zabel-VMC	1	375	16	15	—	—
2008	Bruno Kaelin	Zabel-VMC	1	36	2	—	—	1
2008	Reto Grütter	Zabel-VMC	1	495	22	19	—	1
2009	Dagwin Sabbe	Zabel-VMC	5	25	2	1	—	—
2009	Sven Verbrugge	Zabel-VMC	5	341	17	11	—	—
2010	Gertie Eggink	Zabel-WSP	1	481	24	14	1	3
2010	Dagwin Sabbe	Zabel-WSP	1	75	4	1	1	—
2011	Sven Verbrugge	Zabel-WSP	1	437	21	14	3	—
2011	Ondrej Cermak	Zabel-WSP	1	50	2	2	—	—
2012	Haralds Kurpnieks	Zabel-WSP	1	0	1	—	—	—
2012	Kenny van Gaalen	Zabel-WSP	1	249	10	5	4	1
2012	Lauris Daiders	Zabel-WSP	1	204	10	6	2	0
2013	Robbie Bax	Zabel-WSP	21	49	7	—	—	—
2013	Dagwin Sabbe	Zabel-WSP	21	30	2	—	—	—
Overall 1994 – 2013	Overall 1994 – 2013	Overall 1994 – 2013	Overall 1994 – 2013	7,079	384	192	71	24
