Outcome	Date	Championship	Surface	Opponent	Score
Runner-up	17 February 1992	Memphis , US	Hard (i)	MaliVai Washington	3–6, 2–6
Winner	15 June 1992	Queen's Club , UK	Grass	Shuzo Matsuoka	6–3, 6–4
Runner-up	20 July 1992	Stuttgart Outdoor , Germany	Clay	Andrei Medvedev	1–6, 4–6, 7–6 (7–5) , 6–2, 1–6
Winner	31 August 1992	Schenectady , US	Hard	Jamie Morgan	6–2, 6–7 (5–7) , 6–2
Runner-up	8 March 1993	Indian Wells , US	Hard	Jim Courier	3–6, 3–6, 1–6
Runner-up	14 June 1993	Queen's Club, UK	Grass	Michael Stich	3–6, 4–6
Winner	10 January 1994	Oahu , US	Hard	Richey Reneberg	6–4, 6–7 (3–7) , 6–1
Runner-up	28 February 1994	Rotterdam , Netherlands	Carpet	Michael Stich	6–4, 3–6, 0–6
Runner-up	20 June 1994	Manchester , UK	Grass	Patrick Rafter	6–7 (5–7) , 6–7 (4–7)
Winner	22 August 1994	Indianapolis , US	Hard	Olivier Delaître	6–2, 6–1
Winner	19 September 1994	Bordeaux , France	Hard	Jeff Tarango	6–0, 7–5
Winner	3 October 1994	Basel , Switzerland	Hard (i)	Patrick McEnroe	4–6, 6–2, 7–6 (9–7) , 6–3
Winner	17 October 1994	Tel-Aviv , Israel	Hard	Amos Mansdorf	7–6 (7–4) , 6–3
Winner	13 February 1995	Dubai , UAE	Hard	Andrea Gaudenzi	6–3, 6–3
Winner	8 May 1995	Munich , Germany	Clay	Michael Stich	7–5, 7–6 (8–6)
Winner	16 October 1995	Ostrava , Czech Republic	Carpet	MaliVai Washington	3–6, 6–4, 6–3
Winner	23 October 1995	Lyon , France	Carpet	Pete Sampras	7–6 (7–2) , 5–7, 6–3
Winner	11 March 1996	Scottsdale , US	Hard	Marcelo Ríos	2–6, 6–3, 6–3
Runner-up	22 July 1996	Washington, D.C. , US	Hard	Michael Chang	2–6, 4–6
Winner	26 August 1996	Toronto , Canada	Hard	Todd Woodbridge	6–2, 6–4
Runner-up	19 April 1999	Tokyo , Japan	Hard	Nicolas Kiefer	6–7 (5–7) , 5–7
Winner	6 November 2000	Stuttgart , Germany	Hard (i)	Lleyton Hewitt	7–6 (8–6) , 3–6, 6–7 (5–7) , 7–6 (7–2) , 6–2
Winner	4 August 2003	Los Angeles , US	Hard	Lleyton Hewitt	6–3, 4–6, 7–5
