Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	CD Tenerife	30	40	17	6	7	45	23	+22
2	Atlético Ceuta	30	38	17	4	9	51	35	+16
3	Hércules CF	30	36	16	4	10	53	40	+13
4	Cádiz CF	30	35	16	3	11	55	54	+1
5	UD Las Palmas	30	32	13	6	11	33	32	+1
6	Levante UD	30	32	13	6	11	58	40	+18
7	AD Plus Ultra	30	31	15	1	14	58	41	+17
8	Real Murcia	30	31	13	5	12	45	39	+6
9	Córdoba CF	30	30	14	2	14	40	34	+6
10	CD Mestalla	30	30	12	6	12	55	48	+7
11	CD San Fernando	30	27	9	9	12	33	37	-4
12	CD Málaga	30	26	10	6	14	42	52	-10
13	CD Castellón	30	24	8	8	14	36	50	-14
14	Real Jaén	30	24	10	4	16	31	61	-30
15	CF Extremadura	30	23	9	5	16	31	63	-32
16	Rayo Vallecano	30	21	8	5	17	38	55	-17
