Date	Tournament	Winning score	Margin of victory	Runner(s)-up
7 Sep 1986	Ebel European Masters Swiss Open	−26 (64-66-66-66=262)	3 strokes	Anders Forsbrand
12 Oct 1986	Sanyo Open	−15 (69-68-69-67=273)	3 strokes	Howard Clark
19 Jun 1988	Volvo Belgian Open	−15 (67-69-64-68=269)	4 strokes	Mike Smith
25 Sep 1988	German Masters	−9 (69-72-70-68=279)	2 strokes	Anders Forsbrand, Des Smyth
26 Feb 1989	Tenerife Open	−13 (69-68-68-70=275)	3 strokes	José Maria Cañizares
30 Jul 1989	KLM Dutch Open	−11 (67-66-68-76=277)	Playoff	Roger Chapman , Ronan Rafferty
7 May 1990	Benson & Hedges International Open	−9 (69-68-69-73=279)	1 stroke	Ian Woosnam
24 Jun 1990	Carroll's Irish Open	−6 (67-72-71-72=282)	3 strokes	Mark Calcavecchia , Frank Nobilo
16 Sep 1990	Lancome Trophy	−11 (68-66-70-65=269)	1 stroke	Colin Montgomerie
17 Mar 1991	Open Catalonia	−17 (66-68-64-73=271)	6 strokes	David Feherty
22 Sep 1991	Epson Grand Prix of Europe	−19 (64-68-67-66=265)	9 strokes	Mark James
23 Feb 1992	Turespana Open de Tenerife	−20 (71-68-66-63=268)	5 strokes	Miguel Ángel Martín
1 Mar 1992	Open Mediterrania	−12 (68-71-69-68=276)	2 strokes	José Rivero
6 Mar 1994	Turespana Open Mediterrania	−12 (70-65-71-70=276)	Playoff	Paul McGinley
10 Apr 1994	Masters Tournament	−9 (74-67-69-69=279)	2 strokes	Tom Lehman
30 May 1994	Volvo PGA Championship	−17 (67-68-71-65=271)	1 stroke	Ernie Els
23 Mar 1997	Turespana Masters Open de Canarias	−20 (70-67-68-67=272)	2 strokes	Lee Westwood
1 Mar 1998	Dubai Desert Classic	−19 (69-67-65-68=269)	3 strokes	Stephen Allan
11 Apr 1999	Masters Tournament	−8 (70-66-73-71=280)	2 strokes	Davis Love III
14 May 2000	Benson & Hedges International Open	−13 (75-68-66-66=275)	3 strokes	Phillip Price
6 May 2001	Open de France	−12 (66-69-66-67=268)	2 strokes	Paul Eales , Costantino Rocca , Greg Turner
2 Dec 2001	Omega Hong Kong Open	−22 (65-69-64-64=262)	1 stroke	Henrik Bjørnstad
23 Oct 2005	Mallorca Classic	−10 (69-65-70-66=270)	5 strokes	Paul Broadhurst , Sergio García , José Manuel Lara
