Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
18	December 2	Philadelphia 76ers	W 117–106 (OT)	Kevin Durant (33)	Nick Collison (7)	Russell Westbrook (15)	Ford Center 17,332	10–8
19	December 4	Boston Celtics	L 87–105 (OT)	Kevin Durant (36)	Kevin Durant (5)	Russell Westbrook (4)	Ford Center 18,203	10–9
20	December 7	Golden State Warriors	W 104–88 (OT)	Kevin Durant (28)	Jeff Green (13)	James Harden (5)	Ford Center 17,334	11–9
21	December 11	@ Memphis Grizzlies	W 102–94 (OT)	Kevin Durant (32)	Kevin Durant (10)	Russell Westbrook (7)	FedExForum 13,048	12–9
22	December 13	Cleveland Cavaliers	L 89–102 (OT)	Kevin Durant (29)	Nenad Krstic (8)	Russell Westbrook (5)	Ford Center 18,203	12–10
23	December 14	@ Denver Nuggets	L 93–102 (OT)	Kevin Durant (32)	Kevin Durant (10)	Russell Westbrook (6)	Pepsi Center 16,022	12–11
24	December 16	Dallas Mavericks	L 86–100 (OT)	Russell Westbrook (16)	Jeff Green (11)	Russell Westbrook (5)	Ford Center 18,203	12–12
25	December 18	Detroit Pistons	W 109–98 (OT)	Kevin Durant (27)	Nenad Krstic (8)	James Harden (8)	Ford Center 17,774	13-12
26	December 19	@ Houston Rockets	L 90–95 (OT)	Jeff Green (21)	Jeff Green, Thabo Sefolosha, Serge Ibaka (8)	Russell Westbrook (7)	Toyota Center 15,095	13-13
27	December 22	@ Los Angeles Lakers	L 108–111 (OT)	Kevin Durant (30)	Jeff Green, Russell Westbrook (7)	Russell Westbrook (13)	Staples Center 18,997	13-14
28	December 23	@ Phoenix Suns	W 117–113 (OT)	Kevin Durant (38)	Jeff Green (9)	Russell Westbrook (7)	US Airways Center 15,953	14-14
29	December 26	Charlotte Bobcats	W 98–91 (OT)	Kevin Durant (30)	Nenad Krstic (10)	Russell Westbrook (6)	Ford Center 17,961	15-14
30	December 28	@ New Jersey Nets	W 105–89 (OT)	Kevin Durant (40)	Nick Collison (10)	Russell Westbrook (10)	Izod Center 15,335	16-14
31	December 29	@ Washington Wizards	W 110–98 (OT)	Kevin Durant (35)	Kevin Durant (11)	Russell Westbrook (10)	Verizon Center 17,152	17-14
