Year	Driver/s	Class	Vehicle	Race title
1961	Lorenzo Bandini Giorgio Scarlatti	Sports car	Ferrari 250TRI	1961 4h Testa Rosa
1960	Denny Hulme	Formula Two	Cooper T52 - BMC	XXVI Gran Premio di Pescara
1958- 1959	Not held.	Not held.	Not held.	Not held.
1957	Stirling Moss	Formula One	Vanwall VW5	XXV Circuito di Pescara
1956	Robert Manzon	Sports car	Gordini T15S	XXIV Gran Premio di Pescara
1955	Not held.	Not held.	Not held.	Not held.
1954	Luigi Musso	Formula One / Two	Maserati 250F	XXIII Gran Premio di Pescara
1953	Umberto Maglioli Mike Hawthorn	Sports car	Ferrari 375MM	2° 12 Ore di Pescara
1952	Giovanni Bracco Paolo Marzotto	Sports car	Ferrari 250S	1° 12 Ore di Pescara
1951	José Froilán González	Formula One	Ferrari 375	XX Circuito di Pescara
1950	Juan Manuel Fangio	Formula One	Alfa Romeo 158	XIX Circuito di Pescara
1949	Franco Rol	Sports car	Alfa Romeo 6C 2500 SS	XVIII Circuito di Pescara
1948	Giovanni Bracco	Sports car	Maserati A6GCS	XVII Circuito di Pescara
1947	Vincenzo Auricchio	Sports car	Stanguellini - Fiat 1100	XVI Circuito di Pescara
1940- 1946	Not held.	Not held.	Not held.	Not held.
1939	Clemente Biondetti	Voiturette	Alfa Romeo 158	XV Coppa Acerbo
1938	Rudolf Caracciola	Grand Prix	Mercedes-Benz W154	XIV Coppa Acerbo
1937	Bernd Rosemeyer	Grand Prix	Auto Union C Typ.	XIII Coppa Acerbo
1936	Bernd Rosemeyer	Grand Prix	Auto Union C Typ.	XII Coppa Acerbo
1935	Achille Varzi	Grand Prix	Auto Union B Typ.	XI Coppa Acerbo
1934	Luigi Fagioli	Grand Prix	Mercedes-Benz W25	X Coppa Acerbo
1933	Luigi Fagioli	Grand Prix	Alfa Romeo Tipo-B 'P3'	IX Coppa Acerbo
1932	Tazio Nuvolari	Grand Prix	Alfa Romeo Tipo-B 'P3'	VIII Coppa Acerbo
1931	Giuseppe Campari	Grand Prix	Alfa Romeo Tipo A	VII Coppa Acerbo
1930	Achille Varzi	Grand Prix	Maserati 26M	VI Coppa Acerbo
1929	Giuseppe Campari	Grand Prix	Alfa Romeo P2	V Coppa Acerbo
1928	Not held.	Not held.	Not held.	Not held.
1927	Giuseppe Campari	Grand Prix	Alfa Romeo P2	IV Coppa Acerbo
1926	Luigi Spinozzi	Grand Prix	Bugatti T35	III Coppa Acerbo
1925	Guido Ginaldi	Grand Prix	Alfa Romeo RL	II Coppa Acerbo
1924	Enzo Ferrari	Grand Prix	Alfa Romeo RL	I Coppa Acerbo
