Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Points
Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Points
Llantrisant RFC	22	22	0	0	642	309	83	66
Rumney RFC	22	17	0	5	680	403	94	51
Treherbert RFC	22	15	0	7	517	448	61	45
Tredegar RFC	22	14	0	8	595	397	81	42
Ynysybwl RFC	22	11	0	11	497	484	62	33
Rhydyfelin RFC	22	10	0	12	461	475	62	30
Nantymoel RFC	22	8	1	13	432	505	55	25
Mountain Ash RFC	22	8	1	13	360	430	46	25
Pill Harriers RFC	22	8	0	14	396	484	50	24
Llantwit Fardre RFC	22	7	0	15	384	472	49	21
Croesyceiliog RFC	22	6	2	14	435	729	56	20
Abergavenny RFC	22	4	0	18	376	639	54	12
