Sd	Rk	Player	Points	Points defending	Points won	New points	Status
1	1	Rafael Nadal	12390	360	360	12390	Quarterfinals lost to David Ferrer
2	2	Roger Federer	9245	2000	720	7965	Semifinals lost to Novak Djokovic
3	3	Novak Djokovic	6240	360	2000	7880	Champion, won against Andy Murray
4	4	Robin Söderling	5785	10	180	5955	Fourth round lost to Alexandr Dolgopolov
5	5	Andy Murray	5760	1200	1200	5760	Final lost against Novak Djokovic
6	6	Tomáš Berdych	3955	45	360	4270	Quarterfinals lost to Novak Djokovic
7	7	David Ferrer	3895	45	720	4570	Semifinals lost to Andy Murray
8	8	Andy Roddick	3565	360	180	3385	Fourth round lost to Stanislas Wawrinka
9	9	Fernando Verdasco	3240	180	180	3240	Fourth round lost to Tomáš Berdych
10	10	Mikhail Youzhny	2920	90	90	2920	Third round lost to Milos Raonic
11	11	Jürgen Melzer	2785	10	180	2955	Fourth round lost to Andy Murray
12	12	Gaël Monfils	2560	90	90	2560	Third round lost to Stanislas Wawrinka
13	13	Jo-Wilfried Tsonga	2345	720	90	1715	Third round lost to Alexandr Dolgopolov
14	14	Nicolás Almagro	2160	180	180	2160	Fourth round lost to Novak Djokovic
15	15	Marin Čilić	2140	720	180	1600	Fourth round lost to Rafael Nadal
16	16	Mardy Fish	1921	10	45	1956	Second round lost to Tommy Robredo
17	17	Ivan Ljubičić	1965	90	90	1965	Third round lost to Nicolás Almagro
18	18	Sam Querrey	1860	10	10	1860	First round lost to Łukasz Kubot
19	19	Stanislas Wawrinka	1855	90	360	2125	Quarterfinals lost to Roger Federer
20	20	John Isner	1645	180	90	1555	Third round lost to Marin Čilić
21	21	Marcos Baghdatis	1580	90	90	1580	Third round lost to Jürgen Melzer
22	22	Michaël Llodra	1575	45	45	1575	Second round lost to Milos Raonic
23	23	Nikolay Davydenko	1555	360	10	1205	First round lost to Florian Mayer
24	24	Ernests Gulbis	1575	10	10	1575	First round lost to Benjamin Becker
25	25	Albert Montañés	1495	90	45	1450	Second round lost to Xavier Malisse
26	26	Juan Mónaco	1480	90	45	1435	Second round lost to Robin Haase
27	27	David Nalbandian	1610	0	45	1655	Second round lost to Ričardas Berankis
28	29	Richard Gasquet	1280	10	90	1360	Third round lost to Tomáš Berdych
29	30	Viktor Troicki	1445	45	90	1535	Third round lost to Novak Djokovic
30	31	Thomaz Bellucci	1355	45	45	1355	Second round lost to Jan Hernych
31	32	Feliciano López	1310	90	45	1265	Second round lost to Bernard Tomic
