Class	State	Name	Party	First took office	Born
3	Alaska	Lisa Murkowski	Republican	2002	1957
1	California	Dianne Feinstein	Democratic	1992	1933
3	California	Barbara Boxer	Democratic	1993	1940
1	Hawaii	Mazie Hirono	Democratic	2013	1947
2	Louisiana	Mary Landrieu	Democratic	1997	1955
2	Maine	Susan Collins	Republican	1997	1952
3	Maryland	Barbara Mikulski	Democratic	1987	1936
1	Massachusetts	Elizabeth Warren	Democratic	2013	1949
1	Michigan	Debbie Stabenow	Democratic	2001	1950
1	Minnesota	Amy Klobuchar	Democratic-Farmer-Labor	2007	1960
1	Missouri	Claire McCaskill	Democratic	2007	1953
1	Nebraska	Deb Fischer	Republican	2013	1951
2	New Hampshire	Jeanne Shaheen	Democratic	2009	1947
3	New Hampshire	Kelly Ayotte	Republican	2011	1968
1	New York	Kirsten Gillibrand	Democratic	2009	1966
2	North Carolina	Kay Hagan	Democratic	2009	1953
1	North Dakota	Heidi Heitkamp	Democratic	2013	1955
3	Washington	Patty Murray	Democratic	1993	1950
1	Washington	Maria Cantwell	Democratic	2001	1958
1	Wisconsin	Tammy Baldwin	Democratic	2013	1962
