Volume	Series	Title	Cover	Published	ISBN
0	Conan	Born on the Battlefield	Greg Ruth	May 21, 2008 (HC) June 18, 2008 (TPB)	978-1-59307-980-2 (HC) 978-1-59307-981-9 (TPB)
1	Conan	The Frost Giant's Daughter and other stories	Cary Nord	March 30, 2005 (HC) March 30, 2005 (TPB)	978-1-59307-324-4 (HC) 978-1-59307-301-5 (TPB)
2	Conan	The God in the Bowl and other stories	Cary Nord	September 28, 2005 (HC) October 05, 2005 (TPB)	978-1-59307-440-1 (HC) 978-1-59307-403-6 (TPB)
3	Conan	The Tower of the Elephant and other stories	Cary Nord	May 17, 2006 (HC) June 21, 2006 (TPB)	978-1-59307-576-7 (HC) 978-1-59307-547-7 (TPB)
4	Conan	The Hall of the Dead and other stories	Cary Nord	May 30, 2007 (HC) June 13, 2007 (TPB)	978-1-59307-796-9 (HC) 978-1-59307-775-4 (TPB)
5	Conan	Rogues in the House and other stories	Cary Nord	March 26, 2008 (HC) March 26, 2008 (TPB)	978-1-59307-941-3 (HC) 978-1-59307-903-1 (TPB)
6	Conan	The Hand of Nergal	Tomàs Giorello	September 17, 2008 (HC) September 17, 2008 (TPB)	978-1-59582-179-9 (HC) 978-1-59582-178-2 (TPB)
7	Conan the Cimmerian	Cimmeria	Tomàs Giorello	May 27, 2009 (HC) May 20, 2009 (TPB)	978-1-59582-341-0 (HC) 978-1-59582-283-3 (TPB)
8	Conan the Cimmerian	Black Colossus	Tomàs Giorello	April 28, 2010 (HC) June 02, 2010 (TPB)	978-1-59582-507-0 (HC) 978-1-59582-533-9 (TPB)
9	Conan the Cimmerian	Free Companions	Tomàs Giorello	November 10, 2010 (HC) March 09, 2011 (TPB)	978-1-59582-592-6 (HC) 978-1-59582-623-7 (TPB)
10	Conan the Cimmerian	Iron Shadows in the Moon and other stories	Cary Nord	April 6, 2011 (HC) May 4, 2011 (TPB)	978-1-59582-712-8 (HC) 978-1-59582-713-5 (TPB)
11	Conan: Road of Kings	Road of Kings	Doug Wheatley	February 1, 2012 (HC) June 27, 2012 (TPB)	978-1-59582-817-0 (HC) 978-1-59582-824-8 (TPB)
12	Conan: Road of Kings	Throne of Aquilonia	Aleksi Briclot	July 25, 2012 (HC) January 16, 2013 (TPB)	978-1-59582-904-7 (HC) 978-1-59582-905-4 (TPB)
13	Conan the Barbarian	Queen of the Black Coast	Massimo Carnevale	January 9, 2013 (HC) June 19, 2013 (TPB)	978-1-61655-042-4 (HC) 978-1-61655-043-1 (TPB)
14	Conan the Barbarian	The Death	Massimo Carnevale	July 17, 2013 (HC) December 18, 2013 (TPB)	978-1-61655-122-3 (HC) 978-1-61655-123-0 (TPB)
15	Conan the Barbarian	The Nightmare of the Shallows	Massimo Carnevale	January 22, 2014 (HC)	978-1-61655-233-6 (HC)
—	Conan	The Blood-Stained Crown and other stories	Cary Nord	January 30, 2008 (TPB)	978-1-59307-886-7 (TPB)
—	Conan / Conan the Cimmerian	The Spear and other stories	Cary Nord	June 16, 2010 (TPB)	978-1-59582-523-0 (TPB)
