-	Week 1	Week 2	Week 3	Week 4	Week 5
January	Sydney Moon	Heather Christensen	Erin Wills	Nicole Whitehead *	[Month Ended]
February	Merritt Cabal **	Nikki Lemke	Cathi O'Malley	Lena Li	[Month Ended]
March	Aubrie Lemon*	Ashley Charlton	Rachel Elizabeth	Jackie Tefertiller	[Month Ended]
April	Janice Chong	Anika Knudsen	Kylea Grace	Tila Nguyen *	Kylie Lefleur
May	Jessica Lauren*	Veronica Moore	Michelle Lin	Kaelie Hart	[Month Ended]
June	Brittany Evans*	Natalie Abramov	Candice Michelle	Kimberly Hiott	[Month Ended]
July	Jessica DiFeo	Kate Brenner*	Star Zemba	Chera Leigh	Olivia Hammil
August	Samantha Joseph	Audra Lynn	Tavania Kaye*	Ditra Marie	[Month Ended]
September	Lani Todd (discontinued)	Anthea Szabo	Loredana Jolie	Mary Beth Decker*	Louize Henziger
October	Robin Bain	Sara Schwartz	Carmella DeCesare *	Katherine Hadorn	[Month Ended]
November	Bridget Marquardt	Jennifer Haase	Heather McQuaid*	Arynne Tiller	Jocelyn Caballero
