Elimination	Wrestler	Team	Eliminated by	Elimination Move	Time
1	Victoria	Team SmackDown	Kelly Kelly	Hurricanrana pin	02:54
2	Kelly	Team Raw	Maryse	Side slam backbreaker	03:23
3	McCool	Team SmackDown	James	Mickie-DT	05:07
4	James	Team Raw	Maryse	Roll-up	05:26
5	Natalya	Team SmackDown	Candice	Spear	06:45
6	Jillian	Team Raw	Maria	Victory Roll	07:44
7	Maria	Team SmackDown	Candice	Bridging Northern Lights suplex pin	07:55
8	Candice	Team Raw	Maryse	Modified figure-4 leglock	08:38
9	Maryse	Team SmackDown	Phoenix	Glam Slam	09:39
Survivor(s):	Beth Phoenix (Team Raw)	Beth Phoenix (Team Raw)	Beth Phoenix (Team Raw)	Beth Phoenix (Team Raw)	Beth Phoenix (Team Raw)
