Television service	Country	Language	Content	HDTV	Package/Option
Sky Uno	Italy	Italian English	general television	no	Sky TV
Sky Uno HD	Italy	Italian English	versione HD di Sky Uno	yes	Sky TV + Sky HD
Sky Uno +1	Italy	Italian English	timeshift +1 di Sky Uno	no	Sky TV
Sky Uno +1 HD	Italy	Italian English	timeshift +1 in HD di Sky Uno	yes	Sky TV + Sky HD
Fox	Italy	Italian English	tematico	no	Sky TV
Fox HD	Italy	Italian English	versione HD di Fox	yes	Sky TV + Sky HD
Fox +1	Italy	Italian English	timeshift +1 di Fox	no	Sky TV
Fox +2	Italy	Italian English	timeshift +2 di Fox	no	Sky TV
Fox Life	Italy	Italian English	tematico	no	Sky TV
Fox Life HD	Italy	Italian English	versione HD di Fox Life	yes	Sky TV + Sky HD
Fox Life +1	Italy	Italian English	timeshift +1 di Fox Life	no	Sky TV
Fox Life +2	Italy	Italian English	timeshift +2 di Fox Life	no	Sky TV
Fox Crime	Italy	Italian English	tematico	no	Sky TV
Fox Crime HD	Italy	Italian English	versione HD di Fox Crime	yes	Sky TV + Sky HD
Fox Crime +1	Italy	Italian English	timeshift +1 di Fox Crime	no	Sky TV
Fox Crime +2	Italy	Italian English	timeshift +2 di Fox Crime	no	Sky TV
AXN	Italy	Italian English	tematico	no	Sky TV
AXN HD	Italy	Italian English	versione HD di AXN	yes	Sky TV + Sky HD
AXN +1	Italy	Italian English	timeshift +1 di AXN	no	Sky TV
Comedy Central	Italy	Italian English	tematico	no	Sky TV
Comedy Central +1	Italy	Italian English	timeshift +1 di Comedy Central	no	Sky TV
Real Time	Italy	Italian English	tematico	no	no ( FTA )
Real Time HD	Italy	Italian English	versione HD di Real Time	yes	no ( FTV )
Real Time +1	Italy	Italian English	timeshift +1 di Real Time	no	no ( FTA )
cielo	Italy	Italian English	general television	no	no ( FTV )
Lei	Italy	Italian English	tematico	no	Sky TV
DIVA Universal	Italy	Italian English	tematico	no	Sky TV
Lei +1	Italy	Italian English	tematico	no	Sky TV
Sky Arte HD	Italy	Italian English	arte e cultura	yes	Sky TV + Sky HD
Fox Retro	Italy	Italian English	tematico	no	Sky TV
AXN Sci-Fi	Italy	Italian English	tematico	no	Sky TV
Horror Channel	Italy	Italian	tematico	no	Sky TV
Easy Baby	Italy	Italian English	tematico	no	Sky TV
Automoto TV	Italy	Italian	tematico	no	Sky TV
Babel	Italy	Italian	general television	no	Sky TV
TV2000	Italy	Italian	general television	no	no ( FTA )
La3	Italy	Italian	semi-generalista	no	Sky TV
Nuvolari	Italy	Italian	tematico	no	no ( FTA )
Deejay Tv	Italy	Italian	tematico	no	no ( FTV )
GXT	Italy	Italian English	tematico	no	Sky TV
GXT +1	Italy	Italian English	timeshift +1 di GXT	no	Sky TV
Extreme Sports Channel HD	Paesi Bassi	English	tematico	yes	Sky TV + Sky HD
Man-ga	Italy	Italian giapponese	tematico	no	Sky TV
Sky 3D	Italy	Italian English	tematico	yes	Tutti i pacchetti + Sky HD
iLIKE.TV	Italy	Italian	tematico	no	no ( FTA )
Class TV Moda	Italy	Italian	tematico	no	no ( FTA )
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Sky Uno	Italy	Italian English	general television	no	Sky TV
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Sky Uno +1	Italy	Italian English	timeshift +1 di Sky Uno	no	Sky TV
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Fox	Italy	Italian English	tematico	no	Sky TV
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Fox Life	Italy	Italian English	tematico	no	Sky TV
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Fox Crime	Italy	Italian English	tematico	no	Sky TV
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
AXN	Italy	Italian English	tematico	no	Sky TV
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Real Time	Italy	Italian English	tematico	no	no ( FTA )
