Rank	Peak	Country	Island	Elevation (m)	Prominence (m)	Col (m)
1	Puncak Jaya (Carstensz Pyramid)	Indonesia	New Guinea	4,884	4,884	0
2	Mount Arfak	Indonesia	New Guinea	2,940	2,761	179
3	Puncak Mandala	Indonesia	New Guinea	4,760	2,760	2000
4	Mount Kobowre	Indonesia	New Guinea	3,750	2,217	1533
5	Mount Gauttier	Indonesia	New Guinea	2,230	2,007	223
6	Mount Wondiwoi	Indonesia	New Guinea	2,180	1,985	195
7	Bon Irau	Indonesia	New Guinea	2,500	1,900	600
8	Mount Cycloop	Indonesia	New Guinea	2,000	1,876	124
9	Undundi-Wandandi	Indonesia	New Guinea	3,640	1,740	1900
10	Mount Kumawa	Indonesia	New Guinea	1,680	1,636	44
11	Angemuk	Indonesia	New Guinea	3,949	1,565	2384
12	Deyjay	Indonesia	New Guinea	3,340	1,555	1785
