Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
2000	Boris Kessov	Petya Nedelcheva	Luben Panov Jassen Borissov	Petya Nedelcheva Diana Koleva	Slantchezar Tzankov Petya Nedelcheva
2001	Theodoros Velkos	Diana Dimova	Georgi Petrov Yulian Hristov	Chrisa Georgali Christina Mavromatidou	Yulian Hristov Diana Dimova
2002	Georgi Petrov	Petya Nedelcheva	Georgi Petrov Constanti Dobrev	Petya Nedelcheva Neli Boteva	Constantin Dobrev Petya Nedelcheva
2003	Conrad Hückstädt	Florentina Petre	Georgi Petrov Constanti Dobrev	Florentina Petre Alexandra Olariu	Yulian Hristov Diana Dimova
2004	No competition	No competition	No competition	No competition	No competition
2005	Niels Christian Kaldau	Xu Huaiwen	Anthony Clark Robert Blair	Gail Emms Donna Kellogg	Anthony Clark Donna Kellogg
2006	No competition	No competition	No competition	No competition	No competition
2007	Marc Zwiebler	Petya Nedelcheva	Goh Ying Jin Au Kok Leong	Diana Dimova Petya Nedelcheva	Mads Pieler Kolding Line Damkjer Kruse
2008	Hsieh Yu Hsin	Hung Shih Han	Chien Yu Hsun Lin Yen Jui	Maria Helsbol Anne Skelbaek	Chen Hung Ling Hsieh Pei Chen
2009 2010	No competition	No competition	No competition	No competition	No competition
