Date	Course	Distance	Type	Winner
12 May	Brescia	km (mi)	Individual time trial	Stage Cancelled
13 May	Brescia to Mantua	km (mi)	Team time trial	Bianchi-Piaggio
14 May	Mantua to Comacchio	km (mi)	Plain stage	Guido Bontempi ( ITA )
15 May	Comacchio to Fano	km (mi)	Plain stage	Paolo Rosola ( ITA )
16 May	Pesaro to Todi	km (mi)	Stage with mountain(s)	Giuseppe Saronni ( ITA )
17 May	Terni to Vasto	km (mi)	Stage with mountain(s)	Eduardo Chozas ( ESP )
18 May	Vasto to Campitello Matese	km (mi)	Stage with mountain(s)	Alberto Fernández ( ESP )
19 May	Campitello Matese to Salerno	km (mi)	Stage with mountain(s)	Moreno Argentin ( ITA )
20 May	Salerno to Terracina	km (mi)	Plain stage	Guido Bontempi ( ITA )
21 May	Terracina to Montefiascone	km (mi)	Stage with mountain(s)	Riccardo Magrini ( ITA )
22 May	Montefiascone to Bibbiena	km (mi)	Stage with mountain(s)	Palmiro Masciarelli ( ITA )
23 May	Bibbiena to Pietrasanta	km (mi)	Stage with mountain(s)	Lucien Van Impe ( BEL )
24 May	Rest day	Rest day	Rest day	Rest day
25 May	Pietrasanta to Reggio Emilia	km (mi)	Stage with mountain(s)	Alf Segersäll ( SWE )
26 May	Reggio Emilia to Parma	km (mi)	Individual time trial	Giuseppe Saronni ( ITA )
27 May	Parma to Savona	km (mi)	Stage with mountain(s)	Gregor Braun ( FRG )
28 May	Savona to Orta San Giulio	km (mi)	Stage with mountain(s)	Paolo Rosola ( ITA )
29 May	Orta San Giulio to Milan	km (mi)	Plain stage	Frank Hoste ( BEL )
29 May	Milan to Bergamo	km (mi)	Stage with mountain(s)	Giuseppe Saronni ( ITA )
30 May	Bergamo to Colli di San Fermo	km (mi)	Stage with mountain(s)	Alberto Fernández ( ESP )
31 May	Sarnico to Vicenza	km (mi)	Stage with mountain(s)	Paolo Rosola ( ITA )
1 June	Rest day	Rest day	Rest day	Rest day
2 June	Vicenza to Selva di Val Gardena	km (mi)	Stage with mountain(s)	Mario Beccia ( ITA )
3 June	Selva di Val Gardena to Arabba	km (mi)	Stage with mountain(s)	Alessandro Paganessi ( ITA )
4 June	Arabba to Gorizia	km (mi)	Plain stage	Moreno Argentin ( ITA )
5 June	Gorizia to Udine	km (mi)	Individual time trial	Roberto Visentini ( ITA )
Total	Total	km (mi)	km (mi)	km (mi)
